#separator:tab
#html:true
～か<ruby><rb>月</rb><rt>げつ</rt></ruby>	"～か<ruby><rb>月</rb><rt>げつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～かげつ<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) period of months</span>

<hr>

2か<ruby><rb>月</rb><rt>げつ</rt></ruby><ruby><rb>前</rb><rt>まえ</rt></ruby>に<ruby><rb>日本</rb><rt>にほん</rt></ruby>に<ruby><rb>来</rb><rt>き</rt></ruby>ました。<br>
I came to Japan 2 months ago.


<br><br>

Note: also written as ～ヵ月、～ヶ月、～カ月、～ケ月
"
～<ruby><rb>人</rb><rt>にん</rt></ruby>	"～<ruby><rb>人</rb><rt>にん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～にん<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for people</span>

<hr>

<ruby><rb>彼女</rb><rt>かのじょ</rt></ruby>は<ruby><rb>五</rb><rt>ご</rt></ruby><ruby><rb>人</rb><rt>にん</rt></ruby>の<ruby><rb>兄</rb><rt>あに</rt></ruby>がいる。<br>
She has five older brothers.


<br><br>

Note: <ruby><rb>一人</rb><rt>ひとり</rt></ruby>、<ruby><rb>二人</rb><rt>ふたり</rt></ruby>
"
～<ruby><rb>個</rb><rt>こ</rt></ruby>	"～<ruby><rb>個</rb><rt>こ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～こ<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for small objects</span>

<hr>

ハンバーガーを<ruby><rb>二</rb><rt>に</rt></ruby><ruby><rb>個</rb><rt>こ</rt></ruby><ruby><rb>注文</rb><rt>ちゅうもん</rt></ruby>した。<br>
I ordered two hamburgers.


<br><br>

Note: <ruby><rb>一個</rb><rt>いっこ</rt></ruby>、<ruby><rb>六個</rb><rt>ろっこ</rt></ruby>、<ruby><rb>八個</rb><rt>はっこ</rt></ruby>、<ruby><rb>十個</rb><rt>じゅっこ</rt></ruby>
"
～<ruby><rb>冊</rb><rt>さつ</rt></ruby>	"～<ruby><rb>冊</rb><rt>さつ</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～さつ<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for bound objects (ex. Books)</span>

<hr>

<ruby><rb>鞄</rb><rt>かばん</rt></ruby>に<ruby><rb>一</rb><rt>いっ</rt></ruby><ruby><rb>冊</rb><rt>さつ</rt></ruby>が<ruby><rb>入</rb><rt>はい</rt></ruby>っています。<br>
There is one book in the bag.


<br><br>

Note: <ruby><rb>一冊</rb><rt>いっさつ</rt></ruby>
"
～<ruby><rb>分</rb><rt>ぶん</rt></ruby>	"～<ruby><rb>分</rb><rt>ぶん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～ぷん<br>
<span style=""color:turquoise"">(<strong>n,ctr</strong>) minutes (unit of time) | counter for minutes</span>

<hr>

<ruby><rb>駅</rb><rt>えき</rt></ruby>まで１０<ruby><rb>分</rb><rt>ぷん</rt></ruby>がかります。<br>
It takes 10 minutes to the station.


<br><br>

Note: <ruby><rb>一分</rb><rt>いっぷん</rt></ruby>、<ruby><rb>二分</rb><rt>にふん</rt></ruby>、<ruby><rb>三分</rb><rt>さんぷん</rt></ruby>、<ruby><rb>四二分</rb><rt>よんぷん</rt></ruby>、<ruby><rb>五分</rb><rt>ごふん</rt></ruby>、<ruby><rb>六分</rb><rt>ろっぷん</rt></ruby>、<ruby><rb>七分</rb><rt>ななふん</rt></ruby>、<ruby><rb>八分</rb><rt>はっぷん</rt></ruby>、<ruby><rb>九分</rb><rt>きゅうふん</rt></ruby>、<ruby><rb>十分</rb><rt>じゅっぷん</rt></ruby>
"
～<ruby><rb>匹</rb><rt>ひき</rt></ruby>	"～<ruby><rb>匹</rb><rt>ひき</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～ひき<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for small animals</span>

<hr>

<ruby><rb>家</rb><rt>いえ</rt></ruby>に<ruby><rb>２</rb><rt>に</rt></ruby><ruby><rb>匹</rb><rt>ひき</rt></ruby>の<ruby><rb>犬</rb><rt>いぬ</rt></ruby>がいる。<br>
We have two dogs.


<br><br>

Note: <ruby><rb>一匹</rb><rt>いっぴき</rt></ruby>、<ruby><rb>三匹</rb><rt>さんびき</rt></ruby>、<ruby><rb>六匹</rb><rt>ろっぴき</rt></ruby>、<ruby><rb>八匹</rb><rt>はっぴき</rt></ruby>、<ruby><rb>十匹</rb><rt>じゅっぴき</rt></ruby>
"
～<ruby><rb>台</rb><rt>だい</rt></ruby>	"～<ruby><rb>台</rb><rt>だい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～だい<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for large objects (esp. devices such as refrigerators, cars)</span>

<hr>

<ruby><rb>家</rb><rt>いえ</rt></ruby>にテレビが<ruby><rb>２</rb><rt>に</rt></ruby><ruby><rb>台</rb><rt>だい</rt></ruby>ある。<br>
We have 2 TVs at home.

"
～<ruby><rb>回</rb><rt>かい</rt></ruby>	"～<ruby><rb>回</rb><rt>かい</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～かい<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for number of times</span>

<hr>

<ruby><rb>先月</rb><rt>せんげつ</rt></ruby>あの<ruby><rb>映画</rb><rt>えいが</rt></ruby>を3<ruby><rb>回</rb><rt>かい</rt></ruby><ruby><rb>見</rb><rt>み</rt></ruby>ました。<br>
I saw that movie 3 times last month.


<br><br>

Note: <ruby><rb>一回</rb><rt>いっかい</rt></ruby>、<ruby><rb>六回</rb><rt>ろっかい</rt></ruby>
"
～<ruby><rb>年</rb><rt>ねん</rt></ruby>	"～<ruby><rb>年</rb><rt>ねん</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～ねん<br>
<span style=""color:turquoise"">(<strong>n,ctr</strong>) year (unit of time) | counter for years</span>

<hr>

<ruby><rb>今年</rb><rt>ことし</rt></ruby>は2018<ruby><rb>年</rb><rt>ねん</rt></ruby>です。<br>
This year is 2018.

"
～<ruby><rb>度</rb><rt>ど</rt></ruby>	"～<ruby><rb>度</rb><rt>ど</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～ど<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) counter for number of times</span>

<hr>

<ruby><rb>私</rb><rt>わたし</rt></ruby>は<ruby><rb>富士</rb><rt>ふじ</rt></ruby><ruby><rb>山</rb><rt>さん</rt></ruby>に<ruby><rb>３</rb><rt>さん</rt></ruby><ruby><rb>度</rb><rt>ど</rt></ruby><ruby><rb>登</rb><rt>のぼ</rt></ruby>ったことがある。<br>
I have climbed Mt. Fuji three times.

"
～<ruby><rb>日</rb><rt>にち</rt></ruby>	"～<ruby><rb>日</rb><rt>にち</rt></ruby>

<br>
<hr style=""height:3px;border:none;color:#000;background-color:#000;"">

～にち<br>
<span style=""color:turquoise"">(<strong>ctr</strong>) day of the month | counter for days</span>

<hr>

3<ruby><rb>月</rb><rt>がつ</rt></ruby>15<ruby><rb>日</rb><rt>にち</rt></ruby>で<ruby><rb>学校</rb><rt>がっこう</rt></ruby>は<ruby><rb>終</rb><rt>お</rt></ruby>わりです。<br>
School will end on March 15.


<br><br>

Note: <ruby><rb>一日</rb><rt>ついたち</rt></ruby>、<ruby><rb>二日</rb><rt>ふつか</rt></ruby>、<ruby><rb>三日</rb><rt>みっか</rt></ruby>、<ruby><rb>四日</rb><rt>よっか</rt></ruby>、<ruby><rb>五日</rb><rt>いつか</rt></ruby>、<ruby><rb>六日</rb><rt>むいか</rt></ruby>、<ruby><rb>七日</rb><rt>なのか</rt></ruby>、<ruby><rb>八日</rb><rt>ようか</rt></ruby>、<ruby><rb>九日</rb><rt>ここのか</rt></ruby>、<ruby><rb>十日</rb><rt>とおか</rt></ruby>、<ruby><rb>二十日</rb><rt>はつか</rt></ruby>
"
