これ,これ,this; this one,これをください。,I'll have this please.
一つ,ひとつ,one (thing),それを <ruby>一<rt>ひと</rt></ruby>つください。,Please give me one of those.
一,いち,one,<ruby>一<rt>いち</rt></ruby>から <ruby>始<rt>はじ</rt></ruby>めましょう。,Let's start from scratch.
二,に,two,その <ruby>人<rt>ひと</rt></ruby>には <ruby>二<rt>に</rt></ruby> <ruby>回<rt>かい</rt></ruby> <ruby>会<rt>あ</rt></ruby>った。,I met that person twice.
二つ,ふたつ,two (things),ソフトクリームを <ruby>二<rt>ふた</rt></ruby>つください。,Can I get two ice cream cones?
三,さん,three,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>三<rt>さん</rt></ruby> <ruby>人<rt>にん</rt></ruby>の <ruby>子供<rt>こども</rt></ruby>の <ruby>母親<rt>ははおや</rt></ruby>だ。,She's a mother of three children.
それ,それ,that; that one,それはとってもいい <ruby>話<rt>はなし</rt></ruby>だ。,That's a really nice story.
三つ,みっつ,three (things),コップを <ruby>三<rt>みっ</rt></ruby>つ <ruby>買<rt>か</rt></ruby>いました。,I bought three glasses.
四,よん,four (Japanese origin),ハワイは <ruby>四<rt>よん</rt></ruby> <ruby>回<rt>かい</rt></ruby> <ruby>目<rt>め</rt></ruby>です。,This is my fourth trip to Hawaii.
四つ,よっつ,four (things),<ruby>私<rt>わたし</rt></ruby>は <ruby>腕時計<rt>うでどけい</rt></ruby>を <ruby>四<rt>よっ</rt></ruby>つ <ruby>持<rt>も</rt></ruby>っています。,I have four wristwatches.
四,し,four (Chinese origin),<ruby>四<rt>し</rt></ruby> <ruby>月<rt>がつ</rt></ruby>に <ruby>大学<rt>だいがく</rt></ruby>に <ruby>入学<rt>にゅうがく</rt></ruby>しました。,I entered college in April.
五,ご,five,<ruby>五<rt>ご</rt></ruby> <ruby>人<rt>にん</rt></ruby>で <ruby>旅行<rt>りょこう</rt></ruby>に <ruby>行<rt>い</rt></ruby>きました。,Five of us went on a trip.
いつ,いつ,when,<ruby>彼女<rt>かのじょ</rt></ruby>はいつ <ruby>来<rt>き</rt></ruby>ますか。,When is she coming?
