治る,なおる,be cured; get well,けがはもう <ruby>治<rt>なお</span></rt></ruby>りましたか。,Is your injury cured yet?
選ぶ,えらぶ,choose; elect,<ruby>良<rt>よ</span></rt></ruby>い <ruby>家<rt>いえ</span></rt></ruby>を <ruby>選<rt>えら</span></rt></ruby>ぶのは <ruby>難<rt>むずか</span></rt></ruby>しい。,It's difficult to choose a good house.
進める,すすめる,go ahead; proceed,<ruby>早<rt>はや</span></rt></ruby>く <ruby>授業<rt>じゅぎょう</span></rt></ruby>を <ruby>進<rt>すす</span></rt></ruby>めましょう。,Let's hurry and move on with the class.
進む,すすむ,advance; move forward,<ruby>前<rt>まえ</span></rt></ruby>に <ruby>進<rt>すす</span></rt></ruby>んでください。,Please move forward.
勤める,つとめる,serve; hold a job,<ruby>私<rt>わたし</span></rt></ruby>は <ruby>銀行<rt>ぎんこう</span></rt></ruby>に <ruby>勤<rt>つと</span></rt></ruby>めています。,I work at a bank.
集める,あつめる,collect; gather,<ruby>弟<rt>おとうと</span></rt></ruby>は <ruby>切手<rt>きって</span></rt></ruby>を <ruby>集<rt>あつ</span></rt></ruby>めています。,My little brother collects stamps.
集まる,あつまる,gather; be collected,<ruby>駅前<rt>えきまえ</span></rt></ruby>に <ruby>人<rt>ひと</span></rt></ruby>が <ruby>集<rt>あつ</span></rt></ruby>まっています。,There are a lot of people gathering in front of the station.
比べる,くらべる,compare; contrast,<ruby>今月<rt>こんげつ</span></rt></ruby>と <ruby>先月<rt>せんげつ</span></rt></ruby>の <ruby>売上<rt>うりあげ</span></rt></ruby>を <ruby>比<rt>くら</span></rt></ruby>べた。,I compared this month's sales with last month's.
感じる,かんじる,feel; sense,<ruby>膝<rt>ひざ</span></rt></ruby>に <ruby>痛<rt>いた</span></rt></ruby>みを <ruby>感<rt>かん</span></rt></ruby>じます。,I feel a pain in my knee.
乗り換える,のりかえる,change; transfer,<ruby>次<rt>つぎ</span></rt></ruby>の <ruby>駅<rt>えき</span></rt></ruby>で <ruby>地下鉄<rt>ちかてつ</span></rt></ruby>に <ruby>乗<rt>の</span></rt></ruby>り <ruby>換<rt>か</span></rt></ruby>えます。,I'm transferring to the subway at the next station.
着替える,きがえる,change clothes,<ruby>彼<rt>かれ</span></rt></ruby>はきれいな <ruby>服<rt>ふく</span></rt></ruby>に <ruby>着替<rt>きが</span></rt></ruby>えた。,He changed into clean clothes.
被る,かぶる,wear; put on (on one's head),<ruby>帽子<rt>ぼうし</span></rt></ruby>を <ruby>被<rt>かぶ</span></rt></ruby>って <ruby>外出<rt>がいしゅつ</span></rt></ruby>した。,I went out wearing a hat.
壊れる,こわれる,break; break down,<ruby>会社<rt>かいしゃ</span></rt></ruby>のパソコンが <ruby>壊<rt>こわ</span></rt></ruby>れた。,The company computer broke down.
