交換,こうかん,exchange; bartering,<ruby>試合<rt><span class="furigana">しあい</span></rt></ruby>の <ruby>相手<rt><span class="furigana">あいて</span></rt></ruby>とユニフォームを <ruby>交換<rt><span class="furigana">こうかん</span></rt></ruby>したよ。,We exchanged uniforms with the opposing team at the match.
わさび,わさび,Japanese horseradish,<ruby>刺身<rt><span class="furigana">さしみ</span></rt></ruby>にわさびは <ruby>欠<rt><span class="furigana">か</span></rt></ruby>かせませんね。,Wasabi is indispensable to sashimi.
この頃,このごろ,these days; recently,この <ruby>頃<rt><span class="furigana">ごろ</span></rt></ruby>、よく <ruby>肩<rt><span class="furigana">かた</span></rt></ruby>が <ruby>凝<rt><span class="furigana">こ</span></rt></ruby>る。,These days I often get stiff shoulders.
いつ頃,いつごろ,about when; about what time,いつ <ruby>頃<rt><span class="furigana">ごろ</span></rt></ruby> <ruby>夏休<rt><span class="furigana">なつやす</span></rt></ruby>みを <ruby>取<rt><span class="furigana">と</span></rt></ruby>りますか。,When are you going to take a summer vacation?
駄目,だめ,no good,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>駄目<rt><span class="furigana">だめ</span></rt></ruby>な <ruby>男<rt><span class="furigana">おとこ</span></rt></ruby>だ。,He's a loser.
帽子,ぼうし,hat; cap,<ruby>暑<rt><span class="furigana">あつ</span></rt></ruby>いので <ruby>帽子<rt><span class="furigana">ぼうし</span></rt></ruby>を <ruby>被<rt><span class="furigana">かぶ</span></rt></ruby>りましょう。,You should wear a hat because it's hot.
ジョギング,じょぎんぐ,jogging,<ruby>私<rt><span class="furigana">わたし</span></rt></ruby>は <ruby>毎日<rt><span class="furigana">まいにち</span></rt></ruby>ジョギングをしています。,I jog every day.
零,れい,zero,<ruby>今<rt><span class="furigana">いま</span></rt></ruby>ちょうど <ruby>零<rt><span class="furigana">れい</span></rt></ruby> <ruby>時<rt><span class="furigana">じ</span></rt></ruby>です。,It's exactly midnight now.
文章,ぶんしょう,sentence; writing,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>文章<rt><span class="furigana">ぶんしょう</span></rt></ruby>がとてもうまい。,His writing is very good.
セルフサービス,せるふさーびす,self-service,この <ruby>食堂<rt><span class="furigana">しょくどう</span></rt></ruby>はセルフサービスです。,This dining hall is self-service.
大丈夫,だいじょうぶ,all right; OK,<ruby>大丈夫<rt><span class="furigana">だいじょうぶ</span></rt></ruby>ですか。,Are you OK?
丈夫,じょうぶ,healthy; sturdy,<ruby>祖母<rt><span class="furigana">そぼ</span></rt></ruby>は <ruby>体<rt><span class="furigana">からだ</span></rt></ruby>が <ruby>丈夫<rt><span class="furigana">じょうぶ</span></rt></ruby>だ。,My grandmother is physically strong.
お祖父さん,おじいさん,grandfather,<ruby>私<rt><span class="furigana">わたし</span></rt></ruby>のお <ruby>祖父<rt><span class="furigana">じい</span></rt></ruby>さんは <ruby>毎日<rt><span class="furigana">まいにち</span></rt></ruby> <ruby>散歩<rt><span class="furigana">さんぽ</span></rt></ruby>します。,My grandfather takes a walk every day.
お祖母さん,おばあさん,grandmother,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>はお <ruby>祖母<rt><span class="furigana">ばあ</span></rt></ruby>さんと <ruby>住<rt><span class="furigana">す</span></rt></ruby>んでいる。,She lives with her grandmother.
祖父,そふ,grandfather,<ruby>祖父<rt><span class="furigana">そふ</span></rt></ruby>は <ruby>元気<rt><span class="furigana">げんき</span></rt></ruby>です。,My grandfather is well.
祖母,そぼ,grandmother,<ruby>祖母<rt><span class="furigana">そぼ</span></rt></ruby>は <ruby>京都<rt><span class="furigana">きょうと</span></rt></ruby>で <ruby>生<rt><span class="furigana">う</span></rt></ruby>まれました。,My grandmother was born in Kyoto.
風邪,かぜ,cold (illness),<ruby>私<rt><span class="furigana">わたし</span></rt></ruby>は <ruby>風邪<rt><span class="furigana">かぜ</span></rt></ruby>をひきました。,I caught a cold.
風邪薬,かぜぐすり,cold medicine,この <ruby>風邪<rt><span class="furigana">かぜ</span></rt></ruby> <ruby>薬<rt><span class="furigana">ぐすり</span></rt></ruby>を <ruby>飲<rt><span class="furigana">の</span></rt></ruby>みなさい。,Take this cold medicine.
風呂,ふろ,bath,<ruby>父<rt><span class="furigana">ちち</span></rt></ruby>は <ruby>今<rt><span class="furigana">いま</span></rt></ruby>お <ruby>風呂<rt><span class="furigana">ふろ</span></rt></ruby>に <ruby>入<rt><span class="furigana">はい</span></rt></ruby>っています。,My father's taking a bath right now.
