嬉しい,うれしい,happy; glad,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>に <ruby>会<rt><span class="furigana">あ</span></rt></ruby>えて <ruby>嬉<rt><span class="furigana">うれ</span></rt></ruby>しかった。,I was glad to meet him.
凄い,すごい,great; incredible,<ruby>凄<rt><span class="furigana">すご</span></rt></ruby>い <ruby>雨<rt><span class="furigana">あめ</span></rt></ruby>になった。,It began raining cats and dogs.
めでたい,めでたい,happy; fortunate,それはめでたいことだ。,That's good news.
羨ましい,うらやましい,envious; jealous,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>の <ruby>才能<rt><span class="furigana">さいのう</span></rt></ruby>は <ruby>羨<rt><span class="furigana">うらや</span></rt></ruby>ましいほどだね。,I almost envy his talent.
曖昧,あいまい,ambiguous; vague,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>は <ruby>曖昧<rt><span class="furigana">あいまい</span></rt></ruby>な <ruby>返事<rt><span class="furigana">へんじ</span></rt></ruby>をしたね。,She gave a vague answer.
ものすごい,ものすごい,tremendous,<ruby>夕方<rt><span class="furigana">ゆうがた</span></rt></ruby>、ものすごい <ruby>雨<rt><span class="furigana">あめ</span></rt></ruby>が <ruby>降<rt><span class="furigana">ふ</span></rt></ruby>ったね。,There was a tremendous downpour earlier this evening.
目覚ましい,めざましい,remarkable; marvelous,あの <ruby>国<rt><span class="furigana">くに</span></rt></ruby>は <ruby>目覚<rt><span class="furigana">めざ</span></rt></ruby>ましい <ruby>発展<rt><span class="furigana">はってん</span></rt></ruby>を <ruby>遂<rt><span class="furigana">と</span></rt></ruby>げたの。,That country has achieved remarkable development.
情けない,なさけない,pathetic; pitiful,こんなことも <ruby>知<rt><span class="furigana">し</span></rt></ruby>らないとは <ruby>情<rt><span class="furigana">なさ</span></rt></ruby>けない。,It's pitiful that you don't even know something like this.
思いがけない,おもいがけない,unexpected,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>から <ruby>思<rt><span class="furigana">おも</span></rt></ruby>いがけないことを <ruby>聞<rt><span class="furigana">き</span></rt></ruby>いた。,I heard something unexpected from him.
いけない,いけない,wrong; must not,<ruby>勉強<rt><span class="furigana">べんきょう</span></rt></ruby>を <ruby>怠<rt><span class="furigana">なま</span></rt></ruby>けてはいけないよ。,You must not slack off your studies.
やかましい,やかましい,noisy; loud,スピーカーの <ruby>音<rt><span class="furigana">おと</span></rt></ruby>がやかましいな。,The sound from the speaker is too loud.
待ち遠しい,まちどおしい,can't wait for; long for,<ruby>入学<rt><span class="furigana">にゅうがく</span></rt></ruby> <ruby>式<rt><span class="furigana">しき</span></rt></ruby>が <ruby>待<rt><span class="furigana">ま</span></rt></ruby>ち <ruby>遠<rt><span class="furigana">どお</span></rt></ruby>しいです。,I can't wait for the entrance ceremony.
バカらしい,ばからしい,stupid; absurd,<ruby>小<rt><span class="furigana">ちい</span></rt></ruby>さなことにくよくよするのはバカらしいよ。,It's stupid to worry about such a small thing.
違いない,ちがいない,without doubt; for sure,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>成功<rt><span class="furigana">せいこう</span></rt></ruby>するに <ruby>違<rt><span class="furigana">ちが</span></rt></ruby>いないわ。,He will succeed for sure.
若々しい,わかわかしい,youthful; young-looking,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>はとても <ruby>若々<rt><span class="furigana">わかわか</span></rt></ruby>しい <ruby>人<rt><span class="furigana">ひと</span></rt></ruby>です。,She's a very youthful person.
頼もしい,たのもしい,reliable; dependable,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>頼<rt><span class="furigana">たの</span></rt></ruby>もしい <ruby>人<rt><span class="furigana">ひと</span></rt></ruby>です。,He's a dependable person.
平たい,ひらたい,flat; level,<ruby>平<rt><span class="furigana">ひら</span></rt></ruby>たいお <ruby>皿<rt><span class="furigana">さら</span></rt></ruby>を <ruby>一<rt><span class="furigana">いち</span></rt></ruby> <ruby>枚<rt><span class="furigana">まい</span></rt></ruby> <ruby>取<rt><span class="furigana">と</span></rt></ruby>って。,Can you hand me a plate?
険しい,けわしい,steep; rough,<ruby>父<rt><span class="furigana">ちち</span></rt></ruby>の <ruby>表情<rt><span class="furigana">ひょうじょう</span></rt></ruby>が <ruby>険<rt><span class="furigana">けわ</span></rt></ruby>しくなったの。,My father had a grim look on his face.
いやらしい,いやらしい,lewd; nasty,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>はいやらしい <ruby>男<rt><span class="furigana">おとこ</span></rt></ruby>ね。,He's a nasty man.
相応しい,ふさわしい,suitable; appropriate,その <ruby>場<rt><span class="furigana">ば</span></rt></ruby>に <ruby>相応<rt><span class="furigana">ふさわ</span></rt></ruby>しい <ruby>服装<rt><span class="furigana">ふくそう</span></rt></ruby>で <ruby>来<rt><span class="furigana">き</span></rt></ruby>てください。,Please make sure to dress appropriately for the occasion.
