まだ,まだ,(not) yet; still,<ruby>宿題<rt>しゅくだい</rt></ruby>はまだ <ruby>終<rt>お</rt></ruby>わっていません。,I haven't finished my homework yet.
時々,ときどき,sometimes,<ruby>彼<rt>かれ</rt></ruby>は <ruby>時々<rt>ときどき</rt></ruby> <ruby>遅刻<rt>ちこく</rt></ruby>します。,He's sometimes late.
そう,そう,so; that way,<ruby>私<rt>わたし</rt></ruby>もそう <ruby>思<rt>おも</rt></ruby>います。,That's what I think too.
もう,もう,already; yet,<ruby>彼<rt>かれ</rt></ruby>はもう <ruby>帰<rt>かえ</rt></ruby>りました。,He's already gone home.
どうぞ,どうぞ,please,こちらへどうぞ。,This way please.
よく,よく,often; well,<ruby>彼女<rt>かのじょ</rt></ruby>はよく <ruby>旅行<rt>りょこう</rt></ruby>に <ruby>行<rt>い</rt></ruby>きます。,She often goes on holiday.
こう,こう,like this; such,こう <ruby>小<rt>ちい</rt></ruby>さい <ruby>字<rt>じ</rt></ruby>は <ruby>読<rt>よ</rt></ruby>めない。,I can't read such small letters.
先ず,まず,first of all; to begin with,<ruby>帰<rt>かえ</rt></ruby>ったら <ruby>先<rt>ま</rt></ruby>ず <ruby>手<rt>て</rt></ruby>を <ruby>洗<rt>あら</rt></ruby>いましょう。,When you get home; wash your hands first.
今,いま,now,<ruby>彼<rt>かれ</rt></ruby>は <ruby>今<rt>いま</rt></ruby>、 <ruby>勉強<rt>べんきょう</rt></ruby>しています。,He's studying now.
もっと,もっと,more,もっと <ruby>近<rt>ちか</rt></ruby>くに <ruby>来<rt>き</rt></ruby>てください。,Please come closer.
少し,すこし,a bit; a little while,<ruby>少<rt>すこ</rt></ruby>し <ruby>疲<rt>つか</rt></ruby>れました。,I'm a little tired.
多分,たぶん,probably; perhaps,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>多分<rt>たぶん</rt></ruby> <ruby>家<rt>いえ</rt></ruby>で <ruby>寝<rt>ね</rt></ruby>ています。,She's probably sleeping at home.
とても,とても,very,この <ruby>本<rt>ほん</rt></ruby>はとてもおもしろい。,This book is very interesting.
一人で,ひとりで,by oneself; alone,<ruby>今日<rt>きょう</rt></ruby>は <ruby>一人<rt>ひとり</rt></ruby>で <ruby>映画<rt>えいが</rt></ruby>を <ruby>見<rt>み</rt></ruby>ます。,I'm going to see a movie alone today.
いつも,いつも,always (colloquial),<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>元気<rt>げんき</rt></ruby>だ。,She's always full of energy.
かなり,かなり,fairly; rather,<ruby>彼<rt>かれ</rt></ruby>はかなり <ruby>英語<rt>えいご</rt></ruby>が <ruby>上手<rt>じょうず</rt></ruby>です。,His English is pretty good.
初めて,はじめて,for the first time,<ruby>東京<rt>とうきょう</rt></ruby>に <ruby>来<rt>く</rt></ruby>るのは <ruby>初<rt>はじ</rt></ruby>めてです。,It's my first time visiting Tokyo.
ちょっと,ちょっと,just a moment; just a little,ちょっとだけ <ruby>待<rt>ま</rt></ruby>っていてください。,Please wait here for a little while.
いっぱい,いっぱい,full,プールは <ruby>人<rt>ひと</rt></ruby>でいっぱいです。,The pool is packed.
ゆっくり,ゆっくり,slowly,もっとゆっくり <ruby>話<rt>はな</rt></ruby>してください。,Please speak more slowly.
