する,する,do; make,<ruby>友達<rt>ともだち</rt></ruby>と <ruby>一緒<rt>いっしょ</rt></ruby>に <ruby>宿題<rt>しゅくだい</rt></ruby>をした。,I did my homework with my friend.
なる,なる,become,<ruby>彼<rt>かれ</rt></ruby>は <ruby>医者<rt>いしゃ</rt></ruby>になりました。,He became a doctor.
分かる,わかる,understand,<ruby>質問<rt>しつもん</rt></ruby>の <ruby>意味<rt>いみ</rt></ruby>は <ruby>分<rt>わ</rt></ruby>かりましたか。,Did you understand the meaning of the question?
分ける,わける,divide; share,お <ruby>菓子<rt>かし</rt></ruby>をみんなで <ruby>分<rt>わ</rt></ruby>けました。,We shared the sweets with everyone.
あげる,あげる,give,この <ruby>本<rt>ほん</rt></ruby>、あなたにあげます。,I'll give you this book.
分かれる,わかれる,be divided; split off,グループの <ruby>中<rt>なか</rt></ruby>で <ruby>意見<rt>いけん</rt></ruby>が <ruby>分<rt>わ</rt></ruby>かれました。,Opinion was divided within the group.
くれる,くれる,be given,<ruby>友達<rt>ともだち</rt></ruby>が <ruby>誕生<rt>たんじょう</rt></ruby> <ruby>日<rt>び</rt></ruby>プレゼントをくれた。,My friend gave me a birthday present.
来る,くる,come,<ruby>彼<rt>かれ</rt></ruby>は <ruby>昼<rt>ひる</rt></ruby>すぎに <ruby>来<rt>き</rt></ruby>ます。,He'll come after lunch.
行く,いく,go,<ruby>日曜日<rt>にちようび</rt></ruby>は <ruby>図書館<rt>としょかん</rt></ruby>に <ruby>行<rt>い</rt></ruby>きます。,I go to the library on Sundays.
帰る,かえる,go back home,<ruby>家<rt>うち</rt></ruby>に <ruby>帰<rt>かえ</rt></ruby>ろう。,Let's go home.
上げる,あげる,raise; lift,<ruby>彼<rt>かれ</rt></ruby>は <ruby>荷物<rt>にもつ</rt></ruby>をあみだなに <ruby>上<rt>あ</rt></ruby>げた。,He put the luggage on the rack.
上る,のぼる,go up; climb,<ruby>猫<rt>ねこ</rt></ruby>が <ruby>屋根<rt>やね</rt></ruby>に <ruby>上<rt>のぼ</rt></ruby>っている。,The cat's up on the roof.
上がる,あがる,go up; rise (physical movement),<ruby>私<rt>わたし</rt></ruby>たちは２ <ruby>階<rt>かい</rt></ruby>に <ruby>上<rt>あ</rt></ruby>がった。,We went up to the second floor.
下りる,おりる,go down; come down,そこの <ruby>階段<rt>かいだん</rt></ruby>を <ruby>下<rt>お</rt></ruby>りてください。,Please go down those stairs.
下げる,さげる,lower; turn down,<ruby>少<rt>すこ</rt></ruby>し <ruby>音量<rt>おんりょう</rt></ruby>を <ruby>下<rt>さ</rt></ruby>げてください。,Please turn the volume down a little.
入れる,いれる,put in,<ruby>彼<rt>かれ</rt></ruby>はかばんに <ruby>手帳<rt>てちょう</rt></ruby>を <ruby>入<rt>い</rt></ruby>れた。,He put the notebook in his bag.
入る,はいる,enter,<ruby>寒<rt>さむ</rt></ruby>いので <ruby>中<rt>なか</rt></ruby>に <ruby>入<rt>はい</rt></ruby>ってください。,It's cold; so please come inside.
出る,でる,go out; leave,<ruby>今朝<rt>けさ</rt></ruby>は <ruby>早<rt>はや</rt></ruby>く <ruby>家<rt>いえ</rt></ruby>を <ruby>出<rt>で</rt></ruby>ました。,I left the house early this morning.
出す,だす,take out,<ruby>彼<rt>かれ</rt></ruby>はかばんから <ruby>教科書<rt>きょうかしょ</rt></ruby>を <ruby>出<rt>だ</rt></ruby>した。,He took the textbook out of his bag.
