家賃<div class="hint">rent</div>,やちん,rent,ここの <ruby>家賃<rt>やちん</rt></ruby>は１２ <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby>です。,The rent here is 120;000 yen.,noun
たまに<div class="hint">occasionally; by chance</div>,たまに,occasionally; by chance,<ruby>彼<rt>かれ</rt></ruby>はたまに <ruby>料理<rt>りょうり</rt></ruby>をします。,He cooks on some occasions.,adverb
治る<div class="hint">be cured; get well</div>,なおる,be cured; get well,けがはもう <ruby>治<rt>なお</rt></ruby>りましたか。,Is your injury cured yet?,verb
選ぶ<div class="hint">choose; elect</div>,えらぶ,choose; elect,<ruby>良<rt>よ</rt></ruby>い <ruby>家<rt>いえ</rt></ruby>を <ruby>選<rt>えら</rt></ruby>ぶのは <ruby>難<rt>むずか</rt></ruby>しい。,It's difficult to choose a good house.,verb
選手<div class="hint">athlete; (sports) player</div>,せんしゅ,athlete; (sports) player,<ruby>彼<rt>かれ</rt></ruby>はプロのサッカー <ruby>選手<rt>せんしゅ</rt></ruby>だ。,He's a professional soccer player.,noun
おかしい<div class="hint">strange; peculiar</div>,おかしい,strange; peculiar,<ruby>彼<rt>かれ</rt></ruby>の <ruby>様子<rt>ようす</rt></ruby>がおかしい。,He's acting strange.,adjective
首<div class="hint">neck</div>,くび,neck,きりんの <ruby>首<rt>くび</rt></ruby>は <ruby>長<rt>なが</rt></ruby>い。,Giraffes have long necks.,noun
頭<div class="hint">head</div>,あたま,head,<ruby>今朝<rt>けさ</rt></ruby>から <ruby>頭<rt>あたま</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>い。,I've had a headache since this morning.,noun
顔<div class="hint">face</div>,かお,face,<ruby>彼<rt>かれ</rt></ruby>はタオルで <ruby>顔<rt>かお</rt></ruby>を <ruby>拭<rt>ふ</rt></ruby>きました。,He wiped his face with a towel.,noun
番組<div class="hint">program</div>,ばんぐみ,program,<ruby>私<rt>わたし</rt></ruby>はこの <ruby>番組<rt>ばんぐみ</rt></ruby>が <ruby>好<rt>す</rt></ruby>きです。,I like this show.,noun
おもちゃ<div class="hint">toy; plaything</div>,おもちゃ,toy; plaything,<ruby>赤<rt>あか</rt></ruby>ちゃんが <ruby>自動車<rt>じどうしゃ</rt></ruby>のおもちゃで <ruby>遊<rt>あそ</rt></ruby>んでいる。,The baby's playing with a toy car.,noun
