頑張る,がんばる,work hard; do one's best,<ruby>明日<rt><span class="furigana">あした</span></rt></ruby>の <ruby>試験<rt><span class="furigana">しけん</span></rt></ruby>、 <ruby>頑張<rt><span class="furigana">がんば</span></rt></ruby>ってね。,Good luck on tomorrow's exam.
励ます,はげます,encourage; cheer up,<ruby>父<rt><span class="furigana">ちち</span></rt></ruby>が <ruby>息子<rt><span class="furigana">むすこ</span></rt></ruby>を <ruby>励<rt><span class="furigana">はげ</span></rt></ruby>ましたの。,The father encouraged his son.
仕舞う,しまう,put away; put in,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>は <ruby>大切<rt><span class="furigana">たいせつ</span></rt></ruby>な <ruby>書類<rt><span class="furigana">しょるい</span></rt></ruby>を <ruby>机<rt><span class="furigana">つくえ</span></rt></ruby>に <ruby>仕舞<rt><span class="furigana">しま</span></rt></ruby>った。,She put the important documents in her desk.
踊る,おどる,dance,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>はクラブで <ruby>踊<rt><span class="furigana">おど</span></rt></ruby>るのが <ruby>好<rt><span class="furigana">す</span></rt></ruby>きです。,She likes to dance at a club.
尋ねる,たずねる,inquire; ask,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>は <ruby>道<rt><span class="furigana">みち</span></rt></ruby>を <ruby>尋<rt><span class="furigana">たず</span></rt></ruby>ねた。,She asked for directions.
腐る,くさる,rot; go bad,リンゴが <ruby>腐<rt><span class="furigana">くさ</span></rt></ruby>っている。,This apple's rotten.
畳む,たたむ,fold; shut; close,<ruby>布団<rt><span class="furigana">ふとん</span></rt></ruby>を <ruby>畳<rt><span class="furigana">たた</span></rt></ruby>んでください。,Please fold up the futon.
干す,ほす,hang (something) out to dry,<ruby>母<rt><span class="furigana">はは</span></rt></ruby>は <ruby>洗濯<rt><span class="furigana">せんたく</span></rt></ruby> <ruby>物<rt><span class="furigana">もの</span></rt></ruby>を <ruby>干<rt><span class="furigana">ほ</span></rt></ruby>しています。,My mother's hanging out the laundry to dry.
敷く,しく,lay; spread,<ruby>生<rt><span class="furigana">う</span></rt></ruby>まれて <ruby>初<rt><span class="furigana">はじ</span></rt></ruby>めて <ruby>布団<rt><span class="furigana">ふとん</span></rt></ruby>を <ruby>敷<rt><span class="furigana">し</span></rt></ruby>いた。,I laid out the futon for the first time in my life.
踏む,ふむ,step on; tread on,<ruby>運転<rt><span class="furigana">うんてん</span></rt></ruby> <ruby>手<rt><span class="furigana">しゅ</span></rt></ruby>がブレーキを <ruby>踏<rt><span class="furigana">ふ</span></rt></ruby>んだ。,The driver stepped on the brake.
蹴る,ける,kick,ゴールキーパーがボールを <ruby>蹴<rt><span class="furigana">け</span></rt></ruby>った。,The goalkeeper kicked the ball.
遭う,あう,meet; encounter; get caught in,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>交通<rt><span class="furigana">こうつう</span></rt></ruby> <ruby>事故<rt><span class="furigana">じこ</span></rt></ruby>に <ruby>遭<rt><span class="furigana">あ</span></rt></ruby>った。,He had a traffic accident.
叱る,しかる,scold; reprimand,<ruby>父親<rt><span class="furigana">ちちおや</span></rt></ruby>が <ruby>子供<rt><span class="furigana">こども</span></rt></ruby>を <ruby>叱<rt><span class="furigana">しか</span></rt></ruby>っている。,The father is scolding his child.
拭く,ふく,wipe; dry,タオルで <ruby>体<rt><span class="furigana">からだ</span></rt></ruby>を <ruby>拭<rt><span class="furigana">ふ</span></rt></ruby>きました。,I wiped myself with a towel.
諦める,あきらめる,abandon; give up,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>留学<rt><span class="furigana">りゅうがく</span></rt></ruby>の <ruby>夢<rt><span class="furigana">ゆめ</span></rt></ruby>を <ruby>諦<rt><span class="furigana">あきら</span></rt></ruby>めていないよ。,He hasn't given up on his dream of studying abroad.
巻く,まく,roll up; wrap,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>頭<rt><span class="furigana">あたま</span></rt></ruby>にタオルを <ruby>巻<rt><span class="furigana">ま</span></rt></ruby>いていた。,He had a towel tied around his head.
磨く,みがく,polish; grind,<ruby>靴<rt><span class="furigana">くつ</span></rt></ruby>を <ruby>磨<rt><span class="furigana">みが</span></rt></ruby>いてください。,Please polish your shoes.
褒める,ほめる,praise; compliment,<ruby>頑張<rt><span class="furigana">がんば</span></rt></ruby>ったので <ruby>褒<rt><span class="furigana">ほ</span></rt></ruby>められました。,He was praised because he worked hard.
取り替える,とりかえる,change; replace,シーツを <ruby>取<rt><span class="furigana">と</span></rt></ruby>り <ruby>替<rt><span class="furigana">か</span></rt></ruby>えました。,I changed the sheets.
