一旦,いったん,once; one time,<ruby>疲<rt><span class="furigana">つか</span></rt></ruby>れたでしょう、 <ruby>一旦<rt><span class="furigana">いったん</span></rt></ruby> <ruby>休<rt><span class="furigana">やす</span></rt></ruby>みましょう。,You must be tired; let's take a rest for a while.
元来,がんらい,originally; by nature,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>元来<rt><span class="furigana">がんらい</span></rt></ruby>、 <ruby>真面目<rt><span class="furigana">まじめ</span></rt></ruby>な <ruby>人<rt><span class="furigana">ひと</span></rt></ruby>です。,He's an earnest person by nature.
一向に,いっこうに,absolutely (not) (formal; mainly in written),<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>一向<rt><span class="furigana">いっこう</span></rt></ruby>に <ruby>興味<rt><span class="furigana">きょうみ</span></rt></ruby>を <ruby>示<rt><span class="furigana">しめ</span></rt></ruby>さないの。,He shows absolutely no interest.
前もって,まえもって,in advance,<ruby>休<rt><span class="furigana">やす</span></rt></ruby>むときは <ruby>前<rt><span class="furigana">まえ</span></rt></ruby>もって <ruby>連絡<rt><span class="furigana">れんらく</span></rt></ruby>ください。,If you're going to take a day off; please let me know in advance.
一見,いっけん,at a glance,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>一見<rt><span class="furigana">いっけん</span></rt></ruby>サラリーマン <ruby>風<rt><span class="furigana">ふう</span></rt></ruby>ですね。,He looks like a salaryman at a glance.
たちまち,たちまち,in a moment; suddenly,<ruby>空<rt><span class="furigana">そら</span></rt></ruby>がたちまち <ruby>曇<rt><span class="furigana">くも</span></rt></ruby>ってきたね。,The sky suddenly clouded over.
一通り,ひととおり,briefly; once over,<ruby>説明<rt><span class="furigana">せつめい</span></rt></ruby> <ruby>書<rt><span class="furigana">しょ</span></rt></ruby>を <ruby>一通<rt><span class="furigana">ひととお</span></rt></ruby>り <ruby>読<rt><span class="furigana">よ</span></rt></ruby>んだの。,I glanced over the manual briefly.
毎度,まいど,every time,<ruby>毎度<rt><span class="furigana">まいど</span></rt></ruby>ありがとうございます。,Thank you for your patronage.
長らく,ながらく,for a long time,<ruby>長<rt><span class="furigana">なが</span></rt></ruby>らくお <ruby>待<rt><span class="furigana">ま</span></rt></ruby>たせしました。,Sorry to keep you waiting for such a long time.
一段と,いちだんと,more; further,<ruby>物価<rt><span class="furigana">ぶっか</span></rt></ruby>は <ruby>一段<rt><span class="furigana">いちだん</span></rt></ruby>と <ruby>上昇<rt><span class="furigana">じょうしょう</span></rt></ruby>しそうだね。,It seems that the prices are going up even further.
知らず知らず,しらずしらず,unknowingly; unconsciously,<ruby>知<rt><span class="furigana">し</span></rt></ruby>らず <ruby>知<rt><span class="furigana">し</span></rt></ruby>らずのうちに <ruby>疲<rt><span class="furigana">つか</span></rt></ruby>れがたまっていたよ。,I got tired little by little without being aware of it.
どっと,どっと,burst (out laughing etc.),<ruby>観衆<rt><span class="furigana">かんしゅう</span></rt></ruby>がどっと <ruby>笑<rt><span class="furigana">わら</span></rt></ruby>ったんだ。,The audience burst out laughing.
ひとりでに,ひとりでに,automatically; by oneself,ドアがひとりでに <ruby>閉<rt><span class="furigana">し</span></rt></ruby>まったな。,The door closed by itself.
生き生きと,いきいきと,lively; vigorously,<ruby>子供<rt><span class="furigana">こども</span></rt></ruby>たちが <ruby>生<rt><span class="furigana">い</span></rt></ruby>き <ruby>生<rt><span class="furigana">い</span></rt></ruby>きと <ruby>遊<rt><span class="furigana">あそ</span></rt></ruby>んでいるね。,The kids are playing with full spirit.
生まれつき,うまれつき,by nature,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>は <ruby>生<rt><span class="furigana">う</span></rt></ruby>まれつき <ruby>丈夫<rt><span class="furigana">じょうぶ</span></rt></ruby>です。,She is healthy by nature.
もしかすると,もしかすると,possibly; by any chance,もしかするとあなたに <ruby>一度<rt><span class="furigana">いちど</span></rt></ruby>お <ruby>会<rt><span class="furigana">あ</span></rt></ruby>いしてますか。,Have we met before by any chance?
とっさに,とっさに,at once; promptly,とっさに <ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>の <ruby>名前<rt><span class="furigana">なまえ</span></rt></ruby>が <ruby>出<rt><span class="furigana">で</span></rt></ruby>てこなかった。,I couldn't remember his name at that moment.
当分,とうぶん,for some time; for the time being,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>は <ruby>当分<rt><span class="furigana">とうぶん</span></rt></ruby> <ruby>学校<rt><span class="furigana">がっこう</span></rt></ruby>を <ruby>休<rt><span class="furigana">やす</span></rt></ruby>むそうです。,It seems she'll be absent from school for some time.
割合に,わりあいに,relatively; rather,<ruby>今回<rt><span class="furigana">こんかい</span></rt></ruby>のテストは <ruby>割合<rt><span class="furigana">わりあい</span></rt></ruby>に <ruby>簡単<rt><span class="furigana">かんたん</span></rt></ruby>でした。,The test was relatively easy this time.
割に,わりに,comparatively; rather,この <ruby>映画<rt><span class="furigana">えいが</span></rt></ruby>は <ruby>割<rt><span class="furigana">わり</span></rt></ruby>におもしろいわ。,This movie is rather interesting.
やたらに,やたらに,frequently; persistently,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>はやたらに <ruby>話<rt><span class="furigana">はな</span></rt></ruby>しかけてきた。,He tried to talk to me persistently.
残らず,のこらず,with nothing left behind; without exception,ゴミを <ruby>残<rt><span class="furigana">のこ</span></rt></ruby>らず <ruby>拾<rt><span class="furigana">ひろ</span></rt></ruby>ったよ。,I picked up all the garbage.
めいめい,めいめい,each; individually,<ruby>交通<rt><span class="furigana">こうつう</span></rt></ruby> <ruby>費<rt><span class="furigana">ひ</span></rt></ruby>はめいめい <ruby>支払<rt><span class="furigana">しはら</span></rt></ruby>ってください。,Please pay the fare individually.
一切,いっさい,(not) at all (used to express intention),<ruby>私<rt><span class="furigana">わたし</span></rt></ruby>は <ruby>一切<rt><span class="furigana">いっさい</span></rt></ruby>その <ruby>問題<rt><span class="furigana">もんだい</span></rt></ruby>とは <ruby>関係<rt><span class="furigana">かんけい</span></rt></ruby>がありません。,I have nothing to do with that problem at all.
代わる代わる,かわるがわる,by turns; in turn,<ruby>皆<rt><span class="furigana">みんな</span></rt></ruby>が <ruby>代<rt><span class="furigana">か</span></rt></ruby>わる <ruby>代<rt><span class="furigana">が</span></rt></ruby>わる <ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>らを <ruby>祝福<rt><span class="furigana">しゅくふく</span></rt></ruby>したよ。,Everyone congratulated them by turns.
今更,いまさら,after such a long time,<ruby>今更<rt><span class="furigana">いまさら</span></rt></ruby> <ruby>後悔<rt><span class="furigana">こうかい</span></rt></ruby>しても、もう <ruby>遅<rt><span class="furigana">おそ</span></rt></ruby>いよ。,It's too late to regret it now.
次々に,つぎつぎに,one after another; in succession,<ruby>走者<rt><span class="furigana">そうしゃ</span></rt></ruby>が <ruby>次々<rt><span class="furigana">つぎつぎ</span></rt></ruby>にゴールしました。,The runners reached the goal one after another.
始終,しじゅう,from beginning to end; constantly,その <ruby>部屋<rt><span class="furigana">へや</span></rt></ruby>は <ruby>始終<rt><span class="furigana">しじゅう</span></rt></ruby>、 <ruby>人<rt><span class="furigana">ひと</span></rt></ruby>が <ruby>出入<rt><span class="furigana">でい</span></rt></ruby>りしているね。,People have constantly been going in and out of the room.
にわかに,にわかに,rapidly; at once,<ruby>空<rt><span class="furigana">そら</span></rt></ruby>がにわかに <ruby>暗<rt><span class="furigana">くら</span></rt></ruby>くなったな。,The sky got dark at once.
一種,いっしゅ,sort of; almost,これは <ruby>一種<rt><span class="furigana">いっしゅ</span></rt></ruby> <ruby>独特<rt><span class="furigana">どくとく</span></rt></ruby>の <ruby>味<rt><span class="furigana">あじ</span></rt></ruby>がするね。,This has an unusual sort of taste.
