人手,ひとで,staff; workforce,<ruby>人手<rt><span class="furigana">ひとで</span></rt></ruby>が <ruby>足<rt><span class="furigana">た</span></rt></ruby>りなくて <ruby>忙<rt><span class="furigana">いそが</span></rt></ruby>しい。,We are short-handed and thus busy.
スマート,すまーと,sophisticated; skillful,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>はいつもスマートに <ruby>行動<rt><span class="furigana">こうどう</span></rt></ruby>するね。,He always acts sophisticatedly.
喧嘩,けんか,fight; argument,<ruby>喧嘩<rt><span class="furigana">けんか</span></rt></ruby>はやめて。,Stop fighting.
膝,ひざ,knee,スキーで <ruby>膝<rt><span class="furigana">ひざ</span></rt></ruby>を <ruby>怪我<rt><span class="furigana">けが</span></rt></ruby>しました。,I injured my knee while skiing.
肘,ひじ,elbow,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>肘<rt><span class="furigana">ひじ</span></rt></ruby>に <ruby>怪我<rt><span class="furigana">けが</span></rt></ruby>をした。,He injured his elbow.
椅子,いす,chair,そのお <ruby>年寄<rt><span class="furigana">としよ</span></rt></ruby>りは <ruby>椅子<rt><span class="furigana">いす</span></rt></ruby>に <ruby>座<rt><span class="furigana">すわ</span></rt></ruby>った。,The old person sat on a chair.
眉,まゆ,eyebrow,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>眉<rt><span class="furigana">まゆ</span></rt></ruby>が <ruby>濃<rt><span class="furigana">こ</span></rt></ruby>いね。,He has thick eyebrows.
茶碗,ちゃわん,rice bowl,<ruby>茶碗<rt><span class="furigana">ちゃわん</span></rt></ruby>にご <ruby>飯<rt><span class="furigana">はん</span></rt></ruby>をよそいました。,I put some rice into the rice bowl.
綺麗,きれい,pretty; clean,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>はとても <ruby>綺麗<rt><span class="furigana">きれい</span></rt></ruby>だ。,She's very pretty.
コンクール,こんくーる,contest; competition (mainly in arts),<ruby>来年<rt><span class="furigana">らいねん</span></rt></ruby>のコンクールに <ruby>出場<rt><span class="furigana">しゅつじょう</span></rt></ruby>するつもりです。,I'm going to participate in next year's contest.
醤油,しょうゆ,soy sauce,もう <ruby>少<rt><span class="furigana">すこ</span></rt></ruby>し <ruby>醤油<rt><span class="furigana">しょうゆ</span></rt></ruby>を <ruby>足<rt><span class="furigana">た</span></rt></ruby>してください。,Please add a little more soy sauce.
鞄,かばん,bag; handbag,その <ruby>黒<rt><span class="furigana">くろ</span></rt></ruby>い <ruby>鞄<rt><span class="furigana">かばん</span></rt></ruby>は <ruby>僕<rt><span class="furigana">ぼく</span></rt></ruby>のです。,The black briefcase is mine.
石鹸,せっけん,soap,<ruby>石鹸<rt><span class="furigana">せっけん</span></rt></ruby>で <ruby>手<rt><span class="furigana">て</span></rt></ruby>を <ruby>洗<rt><span class="furigana">あら</span></rt></ruby>ってください。,Please wash your hands with soap.
元旦,がんたん,New Year's Day,<ruby>元旦<rt><span class="furigana">がんたん</span></rt></ruby>に <ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>から <ruby>年賀状<rt><span class="furigana">ねんがじょう</span></rt></ruby>がきた。,I got a New Year's card from him on January 1.
長袖,ながそで,long sleeves,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby>は <ruby>寒<rt><span class="furigana">さむ</span></rt></ruby>いので <ruby>長袖<rt><span class="furigana">ながそで</span></rt></ruby>を <ruby>着<rt><span class="furigana">き</span></rt></ruby>ました。,I put on a long-sleeved shirt because it's cold today.
半袖,はんそで,short sleeves,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby>は、 <ruby>半袖<rt><span class="furigana">はんそで</span></rt></ruby>のシャツを <ruby>着<rt><span class="furigana">き</span></rt></ruby>よう。,I'll put on a short-sleeved shirt today.
袖,そで,sleeve,このシャツは <ruby>袖<rt><span class="furigana">そで</span></rt></ruby>が <ruby>短<rt><span class="furigana">みじか</span></rt></ruby>い。,This shirt has short sleeves.
味噌汁,みそしる,miso soup,<ruby>私<rt><span class="furigana">わたし</span></rt></ruby>は <ruby>毎日<rt><span class="furigana">まいにち</span></rt></ruby>みそ <ruby>汁<rt><span class="furigana">しる</span></rt></ruby>を <ruby>飲<rt><span class="furigana">の</span></rt></ruby>みます。,I have miso soup every day.
姪,めい,niece,<ruby>私<rt><span class="furigana">わたし</span></rt></ruby>の <ruby>姪<rt><span class="furigana">めい</span></rt></ruby>は３ <ruby>才<rt><span class="furigana">さい</span></rt></ruby>です。,My niece is three years old.
襖,ふすま,sliding door,<ruby>襖<rt><span class="furigana">ふすま</span></rt></ruby>を <ruby>閉<rt><span class="furigana">し</span></rt></ruby>めてください。,Please close the sliding door.
箸,はし,chopsticks,<ruby>箸<rt><span class="furigana">はし</span></rt></ruby>を <ruby>上手<rt><span class="furigana">じょうず</span></rt></ruby>に <ruby>使<rt><span class="furigana">つか</span></rt></ruby>えるよ。,I'm good at using chopsticks.
顎,あご,jaw; chin,<ruby>顎<rt><span class="furigana">あご</span></rt></ruby>が <ruby>痛<rt><span class="furigana">いた</span></rt></ruby>い。,My jaw hurts.
ダイヤモンド,だいやもんど,diamond,ダイヤモンドはとても <ruby>高価<rt><span class="furigana">こうか</span></rt></ruby>ですね。,Diamonds are very expensive.
鳩,はと,pigeon; dove,<ruby>公園<rt><span class="furigana">こうえん</span></rt></ruby>の <ruby>鳩<rt><span class="furigana">はと</span></rt></ruby>にえさをやったの。,I fed the pigeons in the park.
稽古,けいこ,practice; training,<ruby>相撲<rt><span class="furigana">すもう</span></rt></ruby>の <ruby>稽古<rt><span class="furigana">けいこ</span></rt></ruby>はとても <ruby>厳<rt><span class="furigana">きび</span></rt></ruby>しいよ。,Sumo training is very hard.
