注意深い,ちゅういぶかい,careful,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>注意深<rt><span class="furigana">ちゅういぶか</span></rt></ruby>い <ruby>人<rt><span class="furigana">ひと</span></rt></ruby>です。,He's a careful person.
快い,こころよい,comfortable; willing,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>は <ruby>快<rt><span class="furigana">こころよ</span></rt></ruby>い <ruby>眠<rt><span class="furigana">ねむ</span></rt></ruby>りについています。,She is sleeping comfortably.
湿っぽい,しめっぽい,damp; gloomy,<ruby>雨<rt><span class="furigana">あめ</span></rt></ruby>の <ruby>日<rt><span class="furigana">ひ</span></rt></ruby>が <ruby>続<rt><span class="furigana">つづ</span></rt></ruby>いて <ruby>家<rt><span class="furigana">いえ</span></rt></ruby>の <ruby>中<rt><span class="furigana">なか</span></rt></ruby>が <ruby>湿<rt><span class="furigana">しめ</span></rt></ruby>っぽいな。,Since it's been raining for days; the whole house is damp.
貴い,とうとい,precious; valuable,その <ruby>事故<rt><span class="furigana">じこ</span></rt></ruby>で <ruby>貴<rt><span class="furigana">とうと</span></rt></ruby>い <ruby>命<rt><span class="furigana">いのち</span></rt></ruby>が <ruby>失<rt><span class="furigana">うしな</span></rt></ruby>われました。,A precious life was lost in the accident.
幅広い,はばひろい,wide; profound,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>幅広<rt><span class="furigana">はばひろ</span></rt></ruby>い <ruby>知識<rt><span class="furigana">ちしき</span></rt></ruby>を <ruby>持<rt><span class="furigana">も</span></rt></ruby>っています。,He has profound knowledge.
渋い,しぶい,bitter,この <ruby>柿<rt><span class="furigana">かき</span></rt></ruby>は <ruby>渋<rt><span class="furigana">しぶ</span></rt></ruby>いね。,This persimmon is bitter.
心細い,こころぼそい,uneasy; lonely,<ruby>夜道<rt><span class="furigana">よみち</span></rt></ruby>の <ruby>一人<rt><span class="furigana">ひとり</span></rt></ruby> <ruby>歩<rt><span class="furigana">ある</span></rt></ruby>きは <ruby>心細<rt><span class="furigana">こころぼそ</span></rt></ruby>いね。,Walking alone at night makes one feel uneasy.
申し訳ない,もうしわけない,sorry; inexcusable,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>には <ruby>申<rt><span class="furigana">もう</span></rt></ruby>し <ruby>訳<rt><span class="furigana">わけ</span></rt></ruby>ないことをした。,I did something inexcusable to him.
ばかばかしい,ばかばかしい,silly; absurd,ばかばかしい <ruby>映画<rt><span class="furigana">えいが</span></rt></ruby>だが <ruby>面白<rt><span class="furigana">おもしろ</span></rt></ruby>かった。,It was a silly movie; but I enjoyed it.
乏しい,とぼしい,lacking; short of,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>はまだ <ruby>仕事<rt><span class="furigana">しごと</span></rt></ruby>の <ruby>経験<rt><span class="furigana">けいけん</span></rt></ruby>が <ruby>乏<rt><span class="furigana">とぼ</span></rt></ruby>しい。,She's still lacking in work experience.
辛い,からい,harsh; severe,<ruby>部長<rt><span class="furigana">ぶちょう</span></rt></ruby>は <ruby>僕<rt><span class="furigana">ぼく</span></rt></ruby>の <ruby>仕事<rt><span class="furigana">しごと</span></rt></ruby>に <ruby>辛<rt><span class="furigana">から</span></rt></ruby>い <ruby>評価<rt><span class="furigana">ひょうか</span></rt></ruby>を <ruby>出<rt><span class="furigana">だ</span></rt></ruby>したんだ。,My manager was harsh in his evaluation of my work.
もろい,もろい,brittle; fragile,この <ruby>岩<rt><span class="furigana">いわ</span></rt></ruby>は <ruby>意外<rt><span class="furigana">いがい</span></rt></ruby>ともろい。,This rock is surprisingly fragile.
望ましい,のぞましい,desirable; recommended,<ruby>夜<rt><span class="furigana">よる</span></rt></ruby>は１０ <ruby>時<rt><span class="furigana">じ</span></rt></ruby>までに <ruby>寝<rt><span class="furigana">ね</span></rt></ruby>るのが <ruby>望<rt><span class="furigana">のぞ</span></rt></ruby>ましい。,It is recommended that we go to sleep by ten o'clock at night.
疑わしい,うたがわしい,doubtful; suspicious,<ruby>疑<rt><span class="furigana">うたが</span></rt></ruby>わしい <ruby>場所<rt><span class="furigana">ばしょ</span></rt></ruby>は <ruby>全部<rt><span class="furigana">ぜんぶ</span></rt></ruby> <ruby>調<rt><span class="furigana">しら</span></rt></ruby>べよう。,Let's search in all the suspicious places.
著しい,いちじるしい,remarkable; striking,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>の <ruby>成長<rt><span class="furigana">せいちょう</span></rt></ruby>は <ruby>著<rt><span class="furigana">いちじる</span></rt></ruby>しいです。,His progress is remarkable.
ありがたい,ありがたい,thankful; grateful,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>の <ruby>助<rt><span class="furigana">たす</span></rt></ruby>けは <ruby>本当<rt><span class="furigana">ほんとう</span></rt></ruby>にありがたいな。,I truly appreciate his help.
素早い,すばやい,quick,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>素早<rt><span class="furigana">すばや</span></rt></ruby>くあたりを <ruby>見回<rt><span class="furigana">みまわ</span></rt></ruby>した。,He quickly looked around.
形容詞,けいようし,adjective,「 <ruby>大<rt><span class="furigana">おお</span></rt></ruby>きい」は <ruby>形容詞<rt><span class="furigana">けいようし</span></rt></ruby>です。,Large is an adjective.
騒がしい,さわがしい,noisy,<ruby>何<rt><span class="furigana">なん</span></rt></ruby>だか <ruby>表<rt><span class="furigana">おもて</span></rt></ruby>が <ruby>騒<rt><span class="furigana">さわ</span></rt></ruby>がしい。,It's kind of noisy outside.
騒々しい,そうぞうしい,noisy; rowdy,<ruby>隣<rt><span class="furigana">となり</span></rt></ruby>の <ruby>家<rt><span class="furigana">いえ</span></rt></ruby>はいつも <ruby>騒々<rt><span class="furigana">そうぞう</span></rt></ruby>しい。,The house next door is always noisy.
のろい,のろい,slow; sluggish,この <ruby>電車<rt><span class="furigana">でんしゃ</span></rt></ruby>は <ruby>本当<rt><span class="furigana">ほんとう</span></rt></ruby>にのろいですね。,This train is really slow.
鈍い,にぶい,dull; slow,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby>は <ruby>頭<rt><span class="furigana">あたま</span></rt></ruby>の <ruby>回転<rt><span class="furigana">かいてん</span></rt></ruby>が <ruby>鈍<rt><span class="furigana">にぶ</span></rt></ruby>いです。,My brain is working slowly today.
生臭い,なまぐさい,smelling fishy,まな <ruby>板<rt><span class="furigana">いた</span></rt></ruby>が <ruby>生臭<rt><span class="furigana">なまぐさ</span></rt></ruby>いです。,The chopping board smells fishy.
荒い,あらい,harsh; rough,うちの <ruby>犬<rt><span class="furigana">いぬ</span></rt></ruby>は <ruby>気<rt><span class="furigana">き</span></rt></ruby>が <ruby>荒<rt><span class="furigana">あら</span></rt></ruby>い。,Our dog is bad-tempered.
憎い,にくい,hateful; abominable,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>が <ruby>憎<rt><span class="furigana">にく</span></rt></ruby>いですか。,Do you hate him?
憎らしい,にくらしい,hateful; obnoxious,<ruby>妹<rt><span class="furigana">いもうと</span></rt></ruby>は <ruby>時々<rt><span class="furigana">ときどき</span></rt></ruby> <ruby>憎<rt><span class="furigana">にく</span></rt></ruby>らしいことを <ruby>言<rt><span class="furigana">い</span></rt></ruby>うんだ。,My little sister sometimes says hateful things.
眠たい,ねむたい,sleepy,まだ８ <ruby>時<rt><span class="furigana">じ</span></rt></ruby>なのに、もう <ruby>眠<rt><span class="furigana">ねむ</span></rt></ruby>たいです。,It's still eight o'clock; but I'm already sleepy.
惜しい,おしい,almost; close,<ruby>惜<rt><span class="furigana">お</span></rt></ruby>しい、もう <ruby>少<rt><span class="furigana">すこ</span></rt></ruby>しで <ruby>優勝<rt><span class="furigana">ゆうしょう</span></rt></ruby>だった。,Almost! We were that close to winning the championship.
醜い,みにくい,ugly; bad-looking,<ruby>醜<rt><span class="furigana">みにく</span></rt></ruby>い <ruby>争<rt><span class="furigana">あらそ</span></rt></ruby>いはやめましょう。,Let's stop this ugly fight.
卑しい,いやしい,greedy; vulgar,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>金<rt><span class="furigana">かね</span></rt></ruby>に <ruby>卑<rt><span class="furigana">いや</span></rt></ruby>しいね。,He's greedy for money.
ずる賢い,ずるがしこい,sly; cunning,あいつはずる <ruby>賢<rt><span class="furigana">がしこ</span></rt></ruby>い <ruby>顔<rt><span class="furigana">かお</span></rt></ruby>をしているね。,That person has a sly face.
悪賢い,わるがしこい,cunning; sly,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>悪賢<rt><span class="furigana">わるがしこ</span></rt></ruby>い <ruby>男<rt><span class="furigana">おとこ</span></rt></ruby>だな。,He's a cunning man.
虚しい,むなしい,vain; (feel) empty,<ruby>愛<rt><span class="furigana">あい</span></rt></ruby>がなければ <ruby>人生<rt><span class="furigana">じんせい</span></rt></ruby>は <ruby>虚<rt><span class="furigana">むな</span></rt></ruby>しいよ。,Life is empty without love.
朗らか,ほがらか,cheerful; bright,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>はとても <ruby>朗<rt><span class="furigana">ほが</span></rt></ruby>らかな <ruby>人<rt><span class="furigana">ひと</span></rt></ruby>です。,He's a very cheerful person.
