#separator:tab
#html:true
～か月,～か 月[げつ],～かげつ,ctr,period of months,2か月前に日本に来ました。,2か 月[げつ] 前[まえ]に 日本[にほん]に 来[き]ました。,I came to Japan 2 months ago.,also written as ～ヵ月、～ヶ月、～カ月、～ケ月
～人,～ 人[にん],～にん,ctr,counter for people,彼女は五人の兄がいる。,彼女[かのじょ]は 五[ご] 人[にん]の 兄[あに]がいる。,She has five older brothers.,一人[ひとり]、 二人[ふたり]
～個,～ 個[こ],～こ,ctr,counter for small objects,ハンバーガーを二個注文した。,ハンバーガーを 二[に] 個[こ] 注文[ちゅうもん]した。,I ordered two hamburgers.,一個[いっこ]、 六個[ろっこ]、 八個[はっこ]、 十個[じゅっこ]
～冊,～ 冊[さつ],～さつ,ctr,counter for bound objects (ex. Books),鞄に一冊が入っています。,鞄[かばん]に 一[いっ] 冊[さつ]が 入[はい]っています。,There is one book in the bag.,一冊[いっさつ]
～分,～ 分[ぶん],～ぷん,n;ctr,minutes (unit of time) | counter for minutes,駅まで１０分かかります。,駅[えき]まで１０ 分[ぷん]がかります。,It takes 10 minutes to the station.,一分[いっぷん]、 二分[にふん]、 三分[さんぷん]、 四二分[よんぷん]、 五分[ごふん]、 六分[ろっぷん]、 七分[ななふん]、 八分[はっぷん]、 九分[きゅうふん]、 十分[じゅっぷん]
～匹,～ 匹[ひき],～ひき,ctr,counter for small animals,家に２匹の犬がいる。,家[いえ]に ２[に] 匹[ひき]の 犬[いぬ]がいる。,We have two dogs.,一匹[いっぴき]、 三匹[さんびき]、 六匹[ろっぴき]、 八匹[はっぴき]、 十匹[じゅっぴき]
～台,～ 台[だい],～だい,ctr,counter for large objects (esp. devices such as refrigerators; cars),家にテレビが２台ある。,家[いえ]にテレビが ２[に] 台[だい]ある。,We have 2 TVs at home.,
～回,～ 回[かい],～かい,ctr,counter for number of times,先月あの映画を3回見ました。,先月[せんげつ]あの 映画[えいが]を3 回[かい] 見[み]ました。,I saw that movie 3 times last month.,一回[いっかい]、 六回[ろっかい]
～年,～ 年[ねん],～ねん,n;ctr,year (unit of time) | counter for years,今年は2018年です。,今年[ことし]は2018 年[ねん]です。,This year is 2018.,
～度,～ 度[ど],～ど,ctr,counter for number of times,私は富士山に３度登ったことがある。,私[わたし]は 富士[ふじ] 山[さん]に ３[さん] 度[ど] 登[のぼ]ったことがある。,I have climbed Mt. Fuji three times.,
～日,～ 日[にち],～にち,ctr,day of the month | counter for days,３月１５日で学校は終わりです。,3 月[がつ]15 日[にち]で 学校[がっこう]は 終[お]わりです。,School will end on March 15.,一日[ついたち]、 二日[ふつか]、 三日[みっか]、 四日[よっか]、 五日[いつか]、 六日[むいか]、 七日[なのか]、 八日[ようか]、 九日[ここのか]、 十日[とおか]、 二十日[はつか]
～時,～ 時[じ],～じ,n,hours (unit of time),毎日6時に起きます。,毎日[まいにち]6 時[じ]に 起[お]きます。,I wake up at 6 'oclock everyday.,
～時間,～ 時間[じかん],～じかん,ctr,period of hours,毎日8時間寝ます。,毎日[まいにち]8 時間[じかん] 寝[ね]ます。,I sleep for 8 hours everyday.,
～月,～ 月[がつ],～がつ,n,month (unit of time),5月5日は子供の日だよ。,5 月[がつ] 5日[いつか]は 子供[こども]の 日[ひ]だよ。,May 5th is Children's Day.,
～本,～ 本[ほん],～ほん,ctr,counter for cylidrical objects,ここに五本の鉛筆がある。,ここに 五[ご] 本[ほん]の 鉛筆[えんぴつ]がある。,There are 5 pencils here.,三本[ばんぼん]、 六本[ろっぽん]、 八本[はっぽん]
～杯,～ 杯[はい],～はい,ctr,counter for cups (of liquid),紅茶2杯をお願いします。,紅茶[こうちゃ]2 杯[はい]をお 願[ねが]いします。,2 cups of tea; please.,一杯[いっぱい]、 三杯[さんばい]
～枚,～ 枚[まい],～まい,ctr,counter for flat objects (ex. sheets of paper),チケットは1枚500円です。,チケットは1 枚[まい]500 円[えん]です。,One ticket is 500 yen.,
～歳,～ 歳[さい],～さい,ctr,~ years old,来年二十歳になります。,来年[らいねん] 二十歳[はたち]になります。,I will be twenty next year.,二十歳[はたち]
～番,～ 番[ばん],～ばん,n,number (in a series),２番のバスに乗って、京都駅で降りなさい。,２ 番[ばん]のバスに 乗[の]って、 京都[きょうと] 駅[えき]で 降[お]りなさい。,Take the number 2 bus and get off at Kyoto Station.,
～週間,～ 週間[しゅうかん],～しゅうかん,ctr,period of weeks,一週間の旅行です。,一[いっ] 週間[しゅうかん]の 旅行[りょこう]です。,It is a one week trip.,一週間[いっしゅうかん]
～階,～ 階[かい],～かい,ctr,counter for floors in a building,英語の教室はあの建物の6階にあります。,英語[えいご]の 教室[きょうしつ]はあの 建物[たてもの]の 6階[ろっかい]にあります。,The English classroom is on the 6th floor of that building.,一階[いっかい]、 三階[さんがい]、 六階[ろっかい]、 十階[じゅっかい]
あそこ,あそこ,あそこ,pn;adj-no,over there; that place,あそこに喫茶店があります。,あそこに 喫茶[きっさ] 店[てん]があります。,There is a coffee shop over there.,
あちら,あちら,あちら,pn;adj-no,that way; over there,あちらに富士山が見えます。,あちらに 富士[ふじ] 山[さん]が 見[み]えます。,You can see Mt. Fuji over there.,
あっち,あっち,あっち,pn;adj-no,that way; over there,あっちにエレベーターがあるよ。,あっちにエレベーターがあるよ。,There is an elevator over there.,
あなた,あなた,あなた,pn;adj-no,you,この靴はあなたのですか？,この 靴[くつ]はあなたのですか？,Are these shoes yours?,
あの,あの,あの,adj-pn,That over there,あの青い車は私のです。,あの 青[あお]い 車[くるま]は 私[わたし]のです。,That blue car over there is mine.,
アパート,アパート,アパート,n,(abbr) apartment,東京でアパートを借りています。,東京[とうきょう]でアパートを 借[か]りています。,I am renting an apartment in Tokyo.,
あまり,あまり,あまり,adv,not very,この本はあまり面白くないですね。,この 本[ほん]はあまり 面白[おもしろ]くないですね。,This book isn't very interesting it is.,
ある,ある,ある,v5r-i;vi,to be; to exist,テーブルの上にジュースが3杯あります。,テーブルの 上[うえ]にジュースが 3杯[さんばい]あります。,There are 3 cups of juice on the table.,
あれ,あれ,あれ,n,that thing; something understood without naming it directly,あれは何ですか？,あれは 何[なん]ですか？,What is that?,
いいえ,いいえ,いいえ,int,no,,,,
いかが,いかが,いかが,adv,how; how about,味はいかがですか？,味[あじ]はいかがですか？,How does it taste?,
いくつ,いくつ,いくつ,adv,how many? | how old?,妹さんはおいくつですか？,妹[いもうと]さんはおいくつですか？,How old is you little sister?,
いくら,いくら,いくら,adv;n,how much?; how many?,この弁当はいくらですか？,この 弁当[べんとう]はいくらですか？,How much is this bento?,
いつ,いつ,いつ,n-adv;pn,when,いつまで東京にいますか？,いつまで 東京[とうきょう]にいますか？,Until when will you be in Tokyo?,
いつも,いつも,いつも,adv;n,always,彼女は仕事が多くて、いつも忙しいです。,彼女[かのじょ]は 仕事[しごと]が 多[おお]くて、いつも 忙[いそが]しいです。,She always busy because she has a lot of work.,
いる,いる,いる,v1;vi,to be (living things); to exist | verb indicating continuing action or state,今彼は寝ている。,今[いま] 彼[かれ]は 寝[ね]ている。,He is sleeping now.,sometimes written with kanji 居[い]る (kanji not on test)
ええ,ええ,ええ,int,yes; that is correct; right,,,,
エレベーター,エレベーター,エレベーター,n,elevator,エレベーターが故障しています。,エレベーターが 故障[こしょう]しています。,The elevator is out of order.,also written as エレベータ
おじいさん,おじいさん,おじいさん,n,grandfather,おじいさんの世話をする。,おじいさんの 世話[せわ]をする。,I take care of my grandfather.,
おばあさん,おばあさん,おばあさん,n,grandmother,彼のおばあさんは今年90歳です。,彼[かれ]のおばあさんは 今年[ことし]90 歳[さい]です。,His grandmonther will be 90 this year.,
お兄さん,お 兄[にい]さん,おにいさん,n,older brother,お兄さんは何歳ですか？,お 兄[にい]さんは 何[なん] 歳[さい]ですか？,How old is your older brother?,
お姉さん,お 姉[ねえ]さん,おねえさん,n,elder sister,彼のお姉さんは20歳です。,彼[かれ]のお 姉[ねえ]さんは 20歳[はたち]です。,His older sister is 20 years old.,
お手洗い,お 手洗[てあら]い,おてあらい,n,toilet; restroom,お手洗いはどこですか。,お 手洗[てあら]いはどこですか。,Where is the bathroom?,
お母さん,お 母[かあ]さん,おかあさん,n,mother,お母さんは料理が上手ですか？,お 母[かあ]さんは 料理[りょうり]が 上手[じょうず]ですか？,Is your mother good at cooking.,
お父さん,お 父[とう]さん,おとうさん,n,father,お父さんは何の仕事をしていますか？,お 父[とう]さんは 何[なん]の 仕事[しごと]をしていますか？,What kind of work does your father do?,
お腹,お 腹[なか],おなか,n,abdomen; stomach,お腹が空いていますか？,お 腹[なか]が 空[す]いていますか？,Are you hungry?,
お茶,お 茶[ちゃ],おちゃ,n,tea (usu. Green),レストランのお茶の方が自動販売機のお茶より美味しいです。,レストランのお 茶[ちゃ]の 方[ほう]が 自動販売機[じどうはんばいき]のお 茶[ちゃ]より 美味[おい]しいです。,Tea at the restaurant is more delicous that tea from the vending machine.,
お菓子,お 菓子[かし],おかし,n,confections; sweets; candy,デパートの地下にお菓子を売っている店がたくさんあります。,デパートの 地下[ちか]にお 菓子[かし]を 売[う]っている 店[てん]がたくさんあります。,There are many stores that sell sweets in the basement of the department store.,
お金,お 金[かね],おかね,n,money,財布にお金が入っています。,財布[さいふ]にお 金[かね]が 入[はい]っています。,The money is in my wallet.,
かかる,かかる,かかる,v5r;vi,to take (a resource; e.g. time or money),飛行機で韓国まで何時間かかりますか？,飛行機[ひこうき]で 韓国[かんこく]まで 何時間[なんじかん]かかりますか？,How many hours does it take until Korea by plane?,
カメラ,カメラ,カメラ,n,camera,私のカメラは黄色い鞄の中にあります。,私[わたし]のカメラは 黄色[きいろ]い 鞄[かばん]の 中[なか]にあります。,My camera is in the yellow bag.,
カレー,カレー,カレー,n,curry,辛いカレーはあまり好きじゃないです。,辛[から]いカレーはあまり 好[す]きじゃないです。,I don't really like spicy curry.,
カレンダー,カレンダー,カレンダー,n,calendar,来週の予定をカレンダーに書きました。,来週[らいしゅう]の 予定[よてい]をカレンダーに 書[か]きました。,I wrote my plans for next week in the calendar.,
ギター,ギター,ギター,n,guitar,先週の月曜日にギターを弾きました。,先週[せんしゅう]の 月曜日[げつようび]にギターを 弾[ひ]きました。,I played guitar last week Monday.,
キログラム,キログラム,キログラム,n,kilogram,私の体重は60キログラムです。,私[わたし]の 体重[たいじゅう]は60キログラムです。,My weight is 60 kg.,also abbreviated as キロ
キロメートル,キロメートル,キロメートル,n,kilometer,ここから川まで3キロメートルくらいです。,ここから 川[かわ]まで3キロメートルくらいです。,It is about 3 km from here to the river.,also abbreviated as キロ
クラス,クラス,クラス,n,class,僕のクラスの友達だよ。,僕[ぼく]のクラスの 友達[ともだち]だよ。,She's my classmate.,
グラム,グラム,グラム,n,gram (unit of measure),次、ボールに200グラムの水と200グラムの砂糖を入れます。,次[つぎ]、ボールに200グラムの 水[みず]と200グラムの 砂糖[さとう]を 入[い]れます。,Next; put 200g of water and 200g of sugar in the bowl.,
コート,コート,コート,n,coat | court (i.e. tennis; basketball; etc.),このコートは暖かい。,このコートは 暖[あたた]かい。,This coat is warm.,
コーヒー,コーヒー,コーヒー,n;adj-no,cofee,あの喫茶店に色々なコーヒーがあります。,あの 喫茶店[きっさてん]に 色々[いろいろ]なコーヒーがあります。,There are various kids of coffee at that coffee shop.,
ここ,ここ,ここ,n,here,ここはあなたの机です。,ここはあなたの 机[つくえ]です。,This is your desk.,
こちら,こちら,こちら,pn;adj-no,this way; this direction,こちらが食堂で、そちらはトイレです。,こちらが 食堂[しょくどう]で、そちらはトイレです。,This way is the caffeteria; that way is the toilet.,
こっち,こっち,こっち,pn;adj-no,this way; this direction,こっちが食堂で、そっちはトイレ。,こっちが 食堂[しょくどう]で、そっちはトイレ。,This way is the caffeteria; that way is the toilet.,
コップ,コップ,コップ,n,cup; glass,コップにお茶を入れました。,コップにお 茶[ちゃ]を 入[い]れました。,I put tea in the glass.,
この,この,この,adj-pn,this (something or someone close to the speaker),この人は同じクラスのトムです。,この 人[ひと]は 同[おな]じクラスのトムです。,This is Tom; from my class.,
コピー,コピー,コピー,n;vs,copy; photocopy,この10枚のレポートをコピーしてください。,この10 枚[まい]のレポートをコピーしてください。,Please copy this 10 page report.,
これ,これ,これ,pn,this,これは何ですか？,これは 何[なん]ですか？,What is this?,
こんな,こんな,こんな,adj-pn,such ; like this,パリにこんな美味しいラーメンがあると思わなかった。,パリにこんな 美味[おい]しいラーメンがあると 思[おも]わなかった。,I didn't think there was ramen this delicious in Paris.,
ご主人,ご 主人[しゅじん],ごしゅじん,n,(hon) your husband,今日ご主人は休みですか？,今日[きょう]ご 主人[しゅじん]は 休[やす]みですか？,Is your husband off (from work) today?,
さあ,さあ,さあ,conj;int,come along; go on | well; who knows,さあ、行こう！,さあ、 行[い]こう！,Well; let's go!,
しかし,しかし,しかし,conj,however; but,この店が高いです。しかし、製品の質が良いです。,この 店[てん]が 高[たか]いです。しかし、 製品[せいひん]の 質[しつ]が 良[い]いです。,This store is expensive.  But; the goods are of high quality.,
じゃ、じゃあ,じゃ、じゃあ,じゃ、じゃあ,conj;int,then; well; so; well then,「中華があまり好きじゃない。」「じゃ、タイにしよう。」,「 中華[ちゅうか]があまり 好[す]きじゃない。」「じゃ、タイにしよう。」,"""I don't really like chinese.""  ""Well then; let's do Italian.""",
シャツ,シャツ,シャツ,n,shirt; under shirt,トムは白いシャツを着た。,トムは 白[しろ]いシャツを 着[き]た。,Tom put on a white shirt.,
シャワー,シャワー,シャワー,n,shower,何時にシャワーを浴びますか？,何時[なんじ]にシャワーを 浴[あ]びますか？,What time will you take a shower?,
スカート,スカート,スカート,n,skirt,白いスカートより黒いのが好きです。,白[しろ]いスカートより 黒[くろ]いのが 好[す]きです。,I like the black skirt better than the white one.,
すぐに,すぐに,すぐに,adv,immediately; right away,すぐに戻ります。,すぐに 戻[もど]ります。,I'll be right back.,
ストーブ,ストーブ,ストーブ,n,(room) heater; stove,冬に古いストーブで部屋を暖めます。,冬[ふゆ]に 古[ふる]いストーブで 部屋[へや]を 暖[あたた]めます。,I heat my room using an old stove during winter.,
スプーン,スプーン,スプーン,n,spoon,スプーンでスープを食べる。,スプーンでスープを 食[た]べる。,To eat soup with a spoon,
スポーツ,スポーツ,スポーツ,n;adj-no,sport; sports,スポーツをやるのが好きですけど、見るのはあまり好きじゃないです。,スポーツをやるのが 好[す]きですけど、 見[み]るのはあまり 好[す]きじゃないです。,I enjoy playing sports; but not really watching them.,
ズボン,ズボン,ズボン,n,trousers; pants,このズボンがちょっと小さい。,このズボンがちょっと 小[ちい]さい。,These pants are a bit small.,
スリッパ,スリッパ,スリッパ,n,slipper; slippers,スリッパを脱いで、風呂に入って。,スリッパを 脱[ぬ]いで、 風呂[ふろ]に 入[はい]って。,Take off your slippers then go into the bath.,
する,する,する,vs-i,to do,天気が良い日に洗濯をします。,天気[てんき]が 良[い]い 日[ひ]に 洗濯[せんたく]をします。,I will do the laundry on a day with good weather.,
セーター,セーター,セーター,n,sweater; jumper,このセーターは暖かい。,このセーターは 暖[あたた]かい。,This sweater is warm.,
ゼロ,ゼロ,ゼロ,n;adj-no,zero,一の前はゼロです。,一[いち]の 前[まえ]はゼロです。,Zero comes before one.,
そうして,そうして,そうして,conj,and; like that,頭が痛かったです。そうして、熱も出ました。,頭[あたま]が 痛[いた]かったです。そうして、 熱[ねつ]も 出[で]ました。,My head was sore.  Then I had a fever.,
そうです,そうです,そうです,exp,that is so; that is right,,,,
そこ,そこ,そこ,n,there (place),そこにいて。,そこにいて。,Stay there.,
そして,そして,そして,conj,and; and then; thus,頭が痛かったです。そして、熱も出ました。,頭[あたま]が 痛[いた]かったです。そして、 熱[ねつ]も 出[で]ました。,My head was sore.  Then I had a fever.,
そちら,そちら,そちら,pn;adj-no,that way; that direction,そちらの天気はどうですか。,そちらの 天気[てんき]はどうですか。,How's the weather there?,
そっち,そっち,そっち,pn;adj-no,that way; that direction,そっちの天気は？,そっちの 天気[てんき]は？,How's the weather there?,
その,その,その,adj-pn,that (something or someone distant from the speaker but close to the listener),どうしてその服がほしいですか？,どうしてその 服[ふく]がほしいですか？,Why do you want those clothes?,
それ,それ,それ,pn;adj-no,that,それは私のです。,それは 私[わたし]のです。,That is mine.,
それから,それから,それから,exp,and then; after that,それから1週間後彼に会いました。,それから 1週間[いっしゅうかん] 後[ご] 彼[かれ]に 会[あ]いました。,I met him 1 week after that.,
それでは,それでは,それでは,exp,well then ... | in that situation,「イタリアン料理はあまり好きじゃないです。」「それでは、フランス料理を食べましょう。」,「イタリアン 料理[りょうり]はあまり 好[す]きじゃないです。」「それでは、フランス 料理[りょうり]を 食[た]べましょう。」,"""I don't really like Italian food.""  ""Well then; let's eat French.""",
たいてい,たいてい,たいてい,adj-na;adv;n,mostly; ordinarily; usually; generally,たいてい遅くまで寝ます。,たいてい 遅[おそ]くまで 寝[ね]ます。,I usually sleep late.,
タクシー,タクシー,タクシー,n,taxi,タクシーに乗りました。,タクシーに 乗[の]りました。,I rode the taxi.,
タバコ,タバコ,タバコ,n,tobacco; cigarette,タバコを吸う,タバコを 吸[す]う,To smoke a cigarette,
だんだん,だんだん,だんだん,adv;adv-to,more and more; increasingly,だんだん暖かくなります。,だんだん 暖[あたた]かくなります。,It will get warmer and warmer.,
ちょうど,ちょうど,ちょうど,adv,exactly; precisely,ちょうど12時半です。,ちょうど12 時[じ] 半[はん]です。,It is exactly 12:30.,
ちょっと,ちょっと,ちょっと,adv,just a little,ちょっといいですか。,ちょっといいですか。,Do you have a minute?,
つける,つける,つける,v1;vt,to turn on; to switch on,電気をつける,電気[でんき]をつける,To turn on the lights,
テープ,テープ,テープ,n,tape,このテープはくっつかない。,このテープはくっつかない。,This tape doesn't stick.,
テーブル,テーブル,テーブル,n;adj-no,table,テーブルの下にあります。,テーブルの 下[した]にあります。,It is under the table.,
テスト,テスト,テスト,n;vs,test,明日はテストがあります。,明日[あした]はテストがあります。,We have a test tomorrow.,
では,では,では,conj;int,then; well; so; well then,では、試験を始めます。,では、 試験[しけん]を 始[はじ]めます。,So; begin the test.,
デパート,デパート,デパート,n,(abbr) department store,デパートの果物が高い。,デパートの 果物[くだもの]が 高[たか]い。,Fruits at the department store are expensive.,
でも,でも,でも,conj,but; however; though; nevertheless,コーラはあまり好きじゃない。でも、飲む。,コーラはあまり 好[す]きじゃない。でも、 飲[の]む。,I don't really like cola.  But I will drink it.,
テレビ,テレビ,テレビ,n,(abbr) television,毎日テレビを見ます。,毎日[まいにち]テレビを 見[み]ます。,I watch TV everyday.,
ドア,ドア,ドア,n,door,ドアを閉めましょうか？,ドアを 閉[し]めましょうか？,Shall I close the door?,
トイレ,トイレ,トイレ,n,(abbr) toilet; restroom; bathroom; lavatory,トイレはどこですか？,トイレはどこですか？,Where is the toilet?,
どう,どう,どう,adv,how; in what way; how about,どうしましょうか？,どうしましょうか？,What should we do?,
どうして,どうして,どうして,adv;int,why?,どうしてその服がほしいですか？,どうしてその 服[ふく]がほしいですか？,Why do you want those clothes?,
どうぞ,どうぞ,どうぞ,adv,please; kindly | by all means; feel free | here you are,どうぞ、食べてください。,どうぞ、 食[た]べてください。,Please eat.,
どうも,どうも,どうも,int,(abbr) thanks,,,,
どこ,どこ,どこ,pn;adj-no,where,トイレはどこですか？,トイレはどこですか？,Where is the toilet?,
どちら,どちら,どちら,pn;adj-no,which one (esp. of two alternatives),出口はどちらですか。,出口[でぐち]はどちらですか。,Which is the way out?,
どっち,どっち,どっち,pn;adj-no,which one (esp. of two alternatives),どっちの方が美味しいかしら。,どっちの 方[ほう]が 美味[おい]しいかしら。,I wonder which one tastes better.,
とても,とても,とても,adv,very,金のペンがとても高いです。,金[きん]のペンがとても 高[たか]いです。,The gold pen is very expensive.,
どなた,どなた,どなた,n,(hon) who?,どなたですか？,どなたですか？,Who is it?,
どの,どの,どの,adj-pn,which; what (way),どのくらい泊まりましたか？,どのくらい 泊[と]まりましたか？,How long did you stay?,
どれ,どれ,どれ,pn;adj-no,which (of three or more),どれが良いですか？,どれが 良[い]いですか？,Which one is good?,
どんな,どんな,どんな,adj-pn,what; what kind of,トムはどんな人ですか？,トムはどんな 人[ひと]ですか？,What kind of person is Tom?,
ナイフ,ナイフ,ナイフ,n,knife,台所にナイフがありますか。,台所[だいどころ]にナイフがありますか。,Is there a knife in the kitchen?,
なぜ,なぜ,なぜ,adv,why; how,なぜ先生になったの？,なぜ 先生[せんせい]になったの？,Why did you become a teacher?,
など,など,など,prt,etc.; and the like; and so forth,ロックやブルースなど好きです。,ロックやブルースなど 好[す]きです。,I like rock; blues; etc.,
なる,なる,なる,v5r;vi,to become; to get,悲しくなる,悲[かな]しくなる,To become sad,
ニュース,ニュース,ニュース,n,news,今朝のニュースを見ましたか？,今朝[けさ]のニュースを 見[み]ましたか？,Did you see the news this morning?,
ネクタイ,ネクタイ,ネクタイ,n,tie; necktie,ネクタイは必要ですか。,ネクタイは 必要[ひつよう]ですか。,Do I need a tie?,
ノート,ノート,ノート,n;vs,(abbr) notebook | (to take) notes | notebook PC,日本語の授業のノートを借りてもいいですか？,日本語[にほんご]の 授業[じゅぎょう]のノートを 借[か]りてもいいですか？,May I borrow you notes form Japanese class?,
パーティー,パーティー,パーティー,n,party,今晩パーティーをします。,今晩[こんばん]パーティーをします。,We're having a party this evening.,
はい,はい,はい,int,yes; that is correct | understood; I see; OK; okay | present; here,,,,
バス,バス,バス,n,bus,バスに乗りますか？,バスに 乗[の]りますか？,Will you ride the bus?,
バター,バター,バター,n,butter,ケーキにバターが必要。,ケーキにバターが 必要[ひつよう]。,Butter is necessary for cake.,
パン,パン,パン,n,bread (por:); pastries (e.g. croissants),毎朝パンを食べますか？,毎朝[まいあさ]パンを 食[た]べますか？,Do you eat bread every morning?,
ハンカチ,ハンカチ,ハンカチ,n,(abbr) handkerchief,このハンカチはいくらですか。,このハンカチはいくらですか。,How much is this handkerchief?,
フィルム,フィルム,フィルム,n,film,フィルムがなくなった。,フィルムがなくなった。,My film has run out.,
プール,プール,プール,n,(swimming) pool,夏にプールでよく泳ぎます。,夏[なつ]にプールでよく 泳[およ]ぎます。,I often swim in the pool during summer.,
フォーク,フォーク,フォーク,n,fork,フォークをいただけますか？,フォークをいただけますか？,Could we have a fork?,
ページ,ページ,ページ,n,page,15ページから始めます。,15ページから 始[はじ]めます。,I will start from page 15.,
ベッド,ベッド,ベッド,n,bed,ベッドに横になっていた。,ベッドに 横[よこ]になっていた。,He lay on the bed.,
ペット,ペット,ペット,n,pet,ペット飼ったことある？,ペット 飼[か]ったことある？,Have you ever had a pet?,
ペン,ペン,ペン,n,pen,黒いペンを持っていますか？,黒[くろ]いペンを 持[も]っていますか？,Do you have a black pen?,
ボールペン,ボールペン,ボールペン,n,ball-point pen,ボールペンで書いてください。,ボールペンで 書[か]いてください。,Please write with a ballpoint pen.,
ポケット,ポケット,ポケット,n,pocket,このコートにはポケットがない。,このコートにはポケットがない。,The coat doesn't have any pockets.,
ポスト,ポスト,ポスト,n;vs,postbox; mail box,今朝手紙をポストに入れました。,今朝[けさ] 手紙[てがみ]をポストに 入[い]れました。,I put the letter in the mail box this morning.,
