生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
のんびり<div class="hint">carefree; at leisure</div>,のんびり,carefree; at leisure,<ruby>休<rt>やす</rt></ruby>みの <ruby>日<rt>ひ</rt></ruby>は <ruby>家<rt>うち</rt></ruby>でのんびり <ruby>過<rt>す</rt></ruby>ごします。,I spend my days off relaxing at home.
文字<div class="hint">letter; character</div>,もじ,letter; character,<ruby>壁<rt>かべ</rt></ruby>に <ruby>文字<rt>もじ</rt></ruby>が <ruby>書<rt>か</rt></ruby>いてあった。,There was some writing on the wall.
柄<div class="hint">pattern; design</div>,がら,pattern; design,<ruby>彼<rt>かれ</rt></ruby>は <ruby>犬<rt>いぬ</rt></ruby>の <ruby>柄<rt>がら</rt></ruby>のＴシャツを <ruby>着<rt>き</rt></ruby>ているよ。,He's wearing a T-shirt with a dog print on it.
梅雨<div class="hint">rainy season (early June to mid-July)</div>,つゆ,rainy season (early June to mid-July),<ruby>梅雨<rt>つゆ</rt></ruby>は６ <ruby>月<rt>がつ</rt></ruby> <ruby>頃<rt>ごろ</rt></ruby>です。,The rainy season comes around June.
がっかり<div class="hint">be disappointed; dejected; feel let down</div>,がっかり,be disappointed; dejected; feel let down,<ruby>成績<rt>せいせき</rt></ruby>が <ruby>落<rt>お</rt></ruby>ちてがっかりした。,I was disappointed because my grades fell.
マイク<div class="hint">(abbr) microphone</div>,マイク,(abbr) microphone,,
一言<div class="hint">single word; brief comment</div>,ひとこと,single word; brief comment,<ruby>社長<rt>しゃちょう</rt></ruby>に <ruby>一言<rt>ひとこと</rt></ruby>お <ruby>願<rt>ねが</rt></ruby>いしたの。,I asked the president to deliver a brief speech.
不満<div class="hint">dissatisfaction; discontent; displeasure</div>,ふまん,dissatisfaction; discontent; displeasure,<ruby>私<rt>わたし</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>のやり <ruby>方<rt>かた</rt></ruby>には <ruby>不満<rt>ふまん</rt></ruby>です。,I'm dissatisfied with his way of doing things.
不足<div class="hint">insufficiency; lack; shortage</div>,ふそく,insufficiency; lack; shortage,<ruby>今年<rt>ことし</rt></ruby>はひどい <ruby>水<rt>みず</rt></ruby> <ruby>不足<rt>ぶそく</rt></ruby>よ。,We've been facing a severe shortage of water this year.
世の中<div class="hint">society; the world</div>,よのなか,society; the world,世の中に色々な人がいる,There are many different kinds of people in the world.
予算<div class="hint">estimate; budget</div>,よさん,estimate; budget,<ruby>車<rt>くるま</rt></ruby>の <ruby>費用<rt>ひよう</rt></ruby>、 <ruby>予算<rt>よさん</rt></ruby>オーバーだ。,The car expenses are over budget.
事件<div class="hint">event; incident; case (usually negative)</div>,じけん,event; incident; case (usually negative),事件の原因,cause of the incident
人間<div class="hint">human being; person</div>,にんげん,human being; person,<ruby>人間<rt>にんげん</rt></ruby>の <ruby>心<rt>こころ</rt></ruby>は <ruby>複雑<rt>ふくざつ</rt></ruby>です。,The human mind is complex.
人類<div class="hint">mankind; humanity</div>,じんるい,mankind; humanity,<ruby>人類<rt>じんるい</rt></ruby>は２ <ruby>本<rt>ほん</rt></ruby>の <ruby>足<rt>あし</rt></ruby>で <ruby>歩<rt>ある</rt></ruby>きます。,Humans walk on two feet.
以前<div class="hint">since; before; previous</div>,いぜん,since; before; previous,以前に伝えた理由,the reason previously stated
休憩<div class="hint">rest; break</div>,きゅうけい,rest; break,<ruby>少<rt>すこ</rt></ruby>し <ruby>休憩<rt>きゅうけい</rt></ruby>しましょう。,Let's take a break.
休暇<div class="hint">holiday; day off</div>,きゅうか,holiday; day off,有給休暇,paid vacation
会員<div class="hint">member; the membership</div>,かいいん,member; the membership,<ruby>彼女<rt>かのじょ</rt></ruby>はクラブの <ruby>会員<rt>かいいん</rt></ruby>です。,She's a member of the club.
伝統<div class="hint">tradition; convention</div>,でんとう,tradition; convention,伝統的,traditional
伸びる<div class="hint">to stretch; to extend; to grow</div>,のびる,to stretch; to extend; to grow,髪の毛が伸びる,
似合う<div class="hint">to suit; to match</div>,にあう,to suit; to match,あの服は彼に似合う。,Those clothes suit him.
住民<div class="hint">inhabitant; resident</div>,じゅうみん,inhabitant; resident,<ruby>地域<rt>ちいき</rt></ruby>の <ruby>住民<rt>じゅうみん</rt></ruby>が <ruby>集<rt>あつ</rt></ruby>まって <ruby>話合<rt>はなしあ</rt></ruby>いをした。,The local residents got together and had a talk.
作品<div class="hint">work; production (book; film; etc.)</div>,さくひん,work; production (book; film; etc.),この <ruby>絵<rt>え</rt></ruby>はゴッホの <ruby>作品<rt>さくひん</rt></ruby>だ。,This painting is one of van Gogh's works.
作業<div class="hint">work; operation; manufacturing</div>,さぎょう,work; operation; manufacturing,<ruby>作業<rt>さぎょう</rt></ruby>するにはもっと <ruby>広<rt>ひろ</rt></ruby>いスペースが <ruby>必要<rt>ひつよう</rt></ruby>だ。,I need a bigger space to work.
保存<div class="hint">saving; storage; maintenance</div>,ほぞん,saving; storage; maintenance,ワードファイルを保存する,to save a word document (on the computer)
信頼<div class="hint">reliance; confidence</div>,しんらい,reliance; confidence,信頼性,reliability
俳優<div class="hint">actor</div>,はいゆう,actor,<ruby>彼<rt>かれ</rt></ruby>は <ruby>俳優<rt>はいゆう</rt></ruby>です。,He's an actor.
優勝<div class="hint">overall victory; championship</div>,ゆうしょう,overall victory; championship,<ruby>私<rt>わたし</rt></ruby>たちのチームが <ruby>優勝<rt>ゆうしょう</rt></ruby>しました。,Our team won the championship.
優秀<div class="hint">superiority; excellence</div>,ゆうしゅう,superiority; excellence,優秀な生徒,an excellent student
先日<div class="hint">the other day; a few days ago</div>,せんじつ,the other day; a few days ago,<ruby>先日<rt>せんじつ</rt></ruby>の <ruby>件<rt>けん</rt></ruby>はどうなりましたか。,What happened to that thing from a few days ago?
全て<div class="hint">everything; all; entirely; completely</div>,すべて,everything; all; entirely; completely,Feels more formal than 全部; but meaning and usage is the same,
全体<div class="hint">whole; entirety</div>,ぜんたい,whole; entirety,会社全体が参加したイベント,the event in which the whole company participated
全員<div class="hint">all members; everyone</div>,ぜんいん,all members; everyone,チーム <ruby>全員<rt>ぜんいん</rt></ruby>に <ruby>名札<rt>なふだ</rt></ruby>が <ruby>配<rt>くば</rt></ruby>られました。,The name tags were distributed to all members of the team.
共通<div class="hint">common; shared</div>,きょうつう,common; shared,この寮のキチンは共通のエリアです。,This dorm's kitchen is a shared area.
内容<div class="hint">contents; substance; details</div>,ないよう,contents; substance; details,この <ruby>本<rt>ほん</rt></ruby>の <ruby>内容<rt>ないよう</rt></ruby>を <ruby>説明<rt>せつめい</rt></ruby>してください。,Please explain the content of this book.
冗談<div class="hint">joke</div>,じょうだん,joke,冗談を言う,to tell a joke
