生	生	なま	adj-no,adj-na,pref	raw; uncooked; fresh; natural								
のんびり	のんびり	のんびり	adv,adv-to,vs	carefree; at leisure								
文字	文字	もじ	n	letter; character								
柄	柄[がら]	がら	n,suf	pattern; design								
梅雨	梅雨[つゆ]	つゆ	n	rainy season (early June to mid-July)								
がっかり	がっかり	がっかり	adv,adv-to,n,vs	be disappointed; dejected; feel let down								
マイク	マイク	マイク	n	(abbr) microphone								
一言	一言	ひとこと	n,vs	single word; brief comment								
不満	不満	ふまん	adj-na,n	dissatisfaction; discontent; displeasure								
不足	不足	ふそく	adj-na,n,vs	insufficiency; lack; shortage								
世の中	世の中	よのなか	n	society; the world	世の中に色々な人がいる		There are many different kinds of people in the world.					
予算	予算[よさん]	よさん	n,vs,adj-no	estimate; budget								
事件	事件	じけん	n	event; incident; case (usually negative)	事件の原因		cause of the incident					
人間	人間	にんげん	n	human being; person								
人類	人類	じんるい	n	mankind; humanity								
以前	以前	いぜん	n-adv,n	since; before; previous	以前に伝えた理由		the reason previously stated	以前のメール		previous email		
休憩	休憩[きゅうけい]	きゅうけい	n,vs	rest; break								
休暇	休暇[きゅうか]	きゅうか	n	holiday; day off	有給休暇		paid vacation	休暇をとる		to take time off		
会員	会員	かいいん	n	member; the membership								
伝統	伝統[でんとう]	でんとう	n	tradition; convention	伝統的		traditional					
伸びる	伸[の]びる	のびる	vi	to stretch; to extend; to grow	髪の毛が伸びる							
似合う	似合う	にあう	vi	to suit; to match	あの服は彼に似合う。		Those clothes suit him.					
住民	住民	じゅうみん	n	inhabitant; resident								
作品	作品	さくひん	n	work; production (book, film, etc.)								
作業	作業	さぎょう	n,vs	work; operation; manufacturing								
保存	保存	ほぞん	n,vs	saving; storage; maintenance	ワードファイルを保存する		to save a word document (on the computer)					
信頼	信頼	しんらい	n,vs	reliance; confidence	信頼性		reliability					
俳優	俳優[はいゆう]	はいゆう	n,adj-no	actor								
優勝	優勝	ゆうしょう	n,vs	overall victory; championship								
優秀	優秀[ゆうしゅう]	ゆうしゅう	adj-na,n	superiority; excellence	優秀な生徒		an excellent student					
先日	先日	せんじつ	n-adv,n	the other day; a few days ago								
全て	全て	すべて	n,adj-no,adv	everything; all; entirely; completely							Feels more formal than 全部, but meaning and usage is the same	
全体	全体	ぜんたい	n-adv,n	whole; entirety	会社全体が参加したイベント		the event in which the whole company participated					
全員	全員	ぜんいん	n-adv,n	all members; everyone								
共通	共通	きょうつう	adj-no,adj-na,n,vs	common; shared	この寮のキチンは共通のエリアです。		This dorm's kitchen is a shared area.					
内容	内容	ないよう	n	contents; substance; details								
冗談	冗談[じょうだん]	じょうだん	n,adj-no	joke	冗談を言う		to tell a joke					
分	分	ぶん	n,suf,pref	part; segment; share	家事について自分の分がもうできました。		As for housework, I already finished my part.	私が食べる分		the part that I will eat		
～分の～	～分の～	～ぶんの～	n	expresses a fraction/portion where the first ～ is the denominator	4分の1		1/4				"Write fractions/portions as you normally would in English. It is common to write ""1/10"", but read it as ""10分の1"""	
分野	分野	ぶんや	n	field; area; realm	専門分野		area of specialty					
刑事	刑事[けいじ]	けいじ	n	(police) detective								
到着	到着	とうちゃく	n,vs,adj-no	arrival	電車が駅に到着しました。		The train arrived at the station.					
努力	努力	どりょく	n,vs	effort; exertion; hard work								
効果	効果[こうか]	こうか	n,adj-no	effect; efficacy	薬の効果		efficacy/effects of medicine					
協力	協力	きょうりょく	n,vs,adj-no	cooperation; collaboration								
単語	単語	たんご	n,adj-no	word; vocabulary								
占める	占[し]める	しめる	vt	to occupy; to hold; to comprise; to make up								
印象	印象[いんしょう]	いんしょう	n,vs	impression	印象を与える		to make an impression					
友人	友人	ゆうじん	n	friend								
双子	双子[ふたご]	ふたご	n	twins								
収穫	収穫[しゅうかく]	しゅうかく	n,vs	harvest; crop								
叫ぶ	叫[さけ]ぶ	さけぶ	vi	to shout; to cry; to yell; to clamour								
同僚	同僚[どうりょう]	どうりょう	n	coworker; colleague								
味方	味方	みかた	n,adj-no	friend; ally; supporter								
品	品	しな	n	article; item; good								
ただ	ただ	ただ	adj-no,n | adv | conj	ordinary; common; usual | only; merely | but; however								
商品	商品	しょうひん	n	good; merchandise								
国民	国民	こくみん	n	people (of a country); citizen								
地域	地域[ちいき]	ちいき	n	area; region								
地方	地方	ちほう	n,adj-no	district; region | countryside; rural area								
報告	報告	ほうこく	n,vs	report; information	毎週に進歩を報告します。		I report my progress every week.					
変更	変更	へんこう	n,vs	change; alteration								
夜中	夜中	よなか	n-adv,n	middle of the night								
夢中	夢中	むちゅう	adj-na,n,adj-no	daze; engrossment; obsessed with; hooked on	ジャズに夢中です。		I am obsessed with Jazz.					
大統領	大統領[だいとうりょう]	だいとうりょう	n	president (of a country)								
太陽	太陽	たいよう	n	sun								
失う	失う	うしなう	vt	to lose	意識を失う		to lose conciousness					
契約	契約[けいやく]	けいやく	n,vs	contract								
奥	奥	おく	n	inside; interior; depths; back	クロゼットの奥に布団がありました。		The futon was at the back of the closet.					
好み	好み	このみ	n	liking; taste								
委員	委員[いいん]	いいん	n	committee member								
嫌う	嫌[きら]う	きらう	vt	to hate; to dislike								
孫	孫[まご]	まご	n	grandchild								
