～倍<div class="hint">～times; ～fold</div>,～ばい,～times; ～fold,<ruby>高<rt>たか</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>が <ruby>安<rt>やす</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>の10 <ruby>倍<rt>ばい</rt></ruby>です。,An expensive car is 10X a cheap car.
～区<div class="hint">～ district</div>,～く,～ district,<ruby>新宿<rt>しんじゅく</rt></ruby> <ruby>区<rt>く</rt></ruby>,(distinct of) Shinjuku
～君<div class="hint">Mr. ～ (used for someone of equal or lesser status)</div>,～くん,Mr. ～ (used for someone of equal or lesser status),<ruby>田中<rt>たなか</rt></ruby> <ruby>君<rt>くん</rt></ruby>は <ruby>後<rt>あと</rt></ruby>で <ruby>来<rt>く</rt></ruby>ると <ruby>思<rt>おも</rt></ruby>う。,I think (Mr.) Tanaka will come later.
～員<div class="hint">member of ～</div>,～いん,member of ～,<ruby>会社員<rt>かいしゃいん</rt></ruby>,company employee
～式<div class="hint">a ceremony</div>,～しき,a ceremony,<ruby>卒業式<rt>そつぎょうしき</rt></ruby>,graduation ceremony
～畳<div class="hint">counter for tatami mats; measure of room size (in mat units)</div>,～じょう,counter for tatami mats; measure of room size (in mat units),<ruby>私<rt>わたし</rt></ruby>の <ruby>部屋<rt>へや</rt></ruby>は6 <ruby>畳<rt>じょう</rt></ruby>です。,My room is the size of 6 tatami mats.
～目<div class="hint">number in a sequence</div>,～め,number in a sequence,<ruby>今日<rt>きょう</rt></ruby>は <ruby>二<rt>に</rt></ruby> <ruby>回<rt>かい</rt></ruby> <ruby>目<rt>め</rt></ruby>です。,Today is my second time.
～階建て<div class="hint">～-storied building</div>,～かいだて,～-storied building,<ruby>家<rt>いえ</rt></ruby>は <ruby>三<rt>さん</rt></ruby> <ruby>階<rt>かい</rt></ruby> <ruby>建<rt>だ</rt></ruby>てではなくて、 <ruby>二<rt>に</rt></ruby> <ruby>階<rt>かい</rt></ruby> <ruby>建<rt>だ</rt></ruby>てです。,My house is not a three-storied building; but a two-storied building.
アクセサリー<div class="hint">accessory</div>,アクセサリー,accessory,この <ruby>黒<rt>くろ</rt></ruby>い <ruby>服<rt>ふく</rt></ruby>には <ruby>黄色<rt>きいろ</rt></ruby>いアクセサリーが <ruby>合<rt>あ</rt></ruby>うと <ruby>思<rt>おも</rt></ruby>う？,Do you think yellow accessories will go well with this black dress?
アジア<div class="hint">Asia</div>,アジア,Asia,アジアに <ruby>色々<rt>いろいろ</rt></ruby>な <ruby>国<rt>くに</rt></ruby>があります。,There are various countries in Asia.
アナウンサー<div class="hint">announcer; presenter</div>,アナウンサー,announcer; presenter,<ruby>知<rt>し</rt></ruby>り <ruby>合<rt>あ</rt></ruby>いはこのテレビ <ruby>局<rt>きょく</rt></ruby>でアナウンサーの <ruby>仕事<rt>しごと</rt></ruby>をしています。,My acquaintance works as an announcer at this TV station.
アフリカ<div class="hint">Africa</div>,アフリカ,Africa,アフリカに <ruby>行<rt>い</rt></ruby>ってみたいです。,I want to try and go to Africa.
アメリカ<div class="hint">America</div>,アメリカ,America,アメリカで <ruby>留学<rt>りゅうがく</rt></ruby>してみたい。,I want to try and study abroad in America.
アルコール<div class="hint">alcohol</div>,アルコール,alcohol,アルコールが <ruby>入<rt>はい</rt></ruby>っているから20 <ruby>歳<rt>さい</rt></ruby>になってからだね。,There is alcohol in it; so you can have some when you're 20 years old.
アルバイト<div class="hint">part-time job</div>,アルバイト,part-time job,キムのアルバイトはコンビニの <ruby>店員<rt>てんいん</rt></ruby>です。,Kim's part time job is a convenience store clerk.
あんな<div class="hint">such; like that</div>,あんな,such; like that,あんな <ruby>分<rt>わ</rt></ruby>かりやすい <ruby>質問<rt>しつもん</rt></ruby>を <ruby>間違<rt>まちが</rt></ruby>えた。,I missed such an easy question.
いじめる<div class="hint">to bully; to tease</div>,いじめる,to bully; to tease,<ruby>外国<rt>がいこく</rt></ruby>から <ruby>来<rt>き</rt></ruby>た <ruby>人<rt>ひと</rt></ruby>はいじめないように <ruby>優<rt>やさ</rt></ruby>しくしてください。,As for the person who came from a foreign country; please be kind and don't tease them.
いっぱい<div class="hint">fully; to capacity; a lot</div>,いっぱい,fully; to capacity; a lot,お <ruby>菓子<rt>かし</rt></ruby>をいっぱい <ruby>食<rt>た</rt></ruby>べたから <ruby>晩<rt>ばん</rt></ruby>ご <ruby>飯<rt>はん</rt></ruby>は <ruby>食<rt>た</rt></ruby>べられなかった。,I ate a lot of snacks; so I could not eat dinner.
いらっしゃる<div class="hint">(hon) to come; to go; to be</div>,いらっしゃる,(hon) to come; to go; to be,<ruby>先生<rt>せんせい</rt></ruby>がいらっしゃいますか？,Is the teacher here?
うち<div class="hint">inside; within</div>,うち,inside; within,<ruby>今年<rt>ことし</rt></ruby>のうち,within this year
うまい<div class="hint">delicious</div>,うまい,delicious,このステーキはうまい！,This steak is delicious.
うん<div class="hint">yes; yeah</div>,うん,yes; yeah,「もう <ruby>食<rt>た</rt></ruby>べた？」「うん、 <ruby>食<rt>た</rt></ruby>べた」,Did you already eat?  Yeah; I ate.
エスカレーター<div class="hint">escalator</div>,エスカレーター,escalator,エスカレーターに <ruby>乗<rt>の</rt></ruby>って、3 <ruby>階<rt>がい</rt></ruby>に <ruby>行<rt>い</rt></ruby>こう。,Let's ride the escaltor and go to the 3rd floor.
オートバイ<div class="hint">motorcycle</div>,オートバイ,motorcycle,ヘルメットがなければオートバイに <ruby>乗<rt>の</rt></ruby>ることは <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>危<rt>あぶ</rt></ruby>ないですよ。,It is very dangerous to ride a motorcycle without a helmet.
おかげ<div class="hint">assistance; help; owing to</div>,おかげ,assistance; help; owing to,この <ruby>素晴<rt>すば</rt></ruby>らしい <ruby>点数<rt>てんすう</rt></ruby>は <ruby>先生<rt>せんせい</rt></ruby>のおかげです。,I owe this splendid score to the teacher.
おかげさまで<div class="hint">(I'm fine) thank you; thanks to you</div>,おかげさまで,(I'm fine) thank you; thanks to you,「お <ruby>元気<rt>げんき</rt></ruby>ですか？」「はい、おかげさまで <ruby>元気<rt>げんき</rt></ruby>です。」,"How are you?"  "I'm fine; thanks to you"
おかしい<div class="hint">strange; odd; weird</div>,おかしい,strange; odd; weird,いつも <ruby>賑<rt>にぎ</rt></ruby>わっている <ruby>店<rt>みせ</rt></ruby>に <ruby>誰<rt>だれ</rt></ruby>もいないのはおかしいですね。,It is strage that there is no one in the store that is always bustling.
おっしゃる<div class="hint">to speak; to say</div>,おっしゃる,to speak; to say,<ruby>先生<rt>せんせい</rt></ruby>が <ruby>良<rt>よ</rt></ruby>い <ruby>辞書<rt>じしょ</rt></ruby>がないと <ruby>勉強<rt>べんきょう</rt></ruby>しにくいとおっしゃった。,The teacher told me that it is difficult to study without a good dictionary.
おつり<div class="hint">change (for a purchase); small money (ex. coins)</div>,おつり,change (for a purchase); small money (ex. coins),800 <ruby>円<rt>えん</rt></ruby>の <ruby>会計<rt>かいけい</rt></ruby>だからおつりは200 <ruby>円<rt>えん</rt></ruby>なはずだったのに、110 <ruby>円<rt>えん</rt></ruby>しかもらっていない。,It was an 800 yen bill; so the change should have been 200 yen; but I only received 110 yen.
おもちゃ<div class="hint">toy</div>,おもちゃ,toy,<ruby>片付<rt>かたづ</rt></ruby>けてないから <ruby>子供<rt>こども</rt></ruby>のおもちゃを <ruby>踏<rt>ふ</rt></ruby>んでしまいました。,You did not clean up so I stepped on the child's toy.
お土産<div class="hint">present; souvenir</div>,おみやげ,present; souvenir,ジョンがお <ruby>土産<rt>みやげ</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってくれた。,John bought me a souvenir.
お嬢さん<div class="hint">(hon) daughter; young lady</div>,おじょうさん,(hon) daughter; young lady,お <ruby>嬢<rt>じょう</rt></ruby>さんがいらっしゃいますか？,Is your daughter home?
お子さん<div class="hint">(hon) (someone else's) child</div>,おこさん,(hon) (someone else's) child,お <ruby>子<rt>こ</rt></ruby>さんは <ruby>何月<rt>なんがつ</rt></ruby> <ruby>生<rt>う</rt></ruby>まれですか？,What month was your child born?
お宅<div class="hint">(hon) your house; your home</div>,おたく,(hon) your house; your home,お <ruby>宅<rt>たく</rt></ruby>の <ruby>電話<rt>でんわ</rt></ruby> <ruby>番号<rt>ばんごう</rt></ruby>を <ruby>教<rt>おし</rt></ruby>えて <ruby>頂<rt>いただ</rt></ruby>けますか？,Will you give me your home phone number?
