～か月<div class="hint">period of months</div>,～かげつ,period of months,2か <ruby>月<rt>げつ</rt></ruby> <ruby>前<rt>まえ</rt></ruby>に <ruby>日本<rt>にほん</rt></ruby>に <ruby>来<rt>き</rt></ruby>ました。,I came to Japan 2 months ago.
～人<div class="hint">counter for people</div>,～にん,counter for people,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>五<rt>ご</rt></ruby> <ruby>人<rt>にん</rt></ruby>の <ruby>兄<rt>あに</rt></ruby>がいる。,She has five older brothers.
～個<div class="hint">counter for small objects</div>,～こ,counter for small objects,ハンバーガーを <ruby>二<rt>に</rt></ruby> <ruby>個<rt>こ</rt></ruby> <ruby>注文<rt>ちゅうもん</rt></ruby>した。,I ordered two hamburgers.
～冊<div class="hint">counter for bound objects (ex. Books)</div>,～さつ,counter for bound objects (ex. Books),<ruby>鞄<rt>かばん</rt></ruby>に <ruby>一<rt>いっ</rt></ruby> <ruby>冊<rt>さつ</rt></ruby>が <ruby>入<rt>はい</rt></ruby>っています。,There is one book in the bag.
～分<div class="hint">minutes (unit of time) | counter for minutes</div>,～ぷん,minutes (unit of time) | counter for minutes,<ruby>駅<rt>えき</rt></ruby>まで１０ <ruby>分<rt>ぷん</rt></ruby>がかります。,It takes 10 minutes to the station.
～匹<div class="hint">counter for small animals</div>,～ひき,counter for small animals,<ruby>家<rt>いえ</rt></ruby>に ２<rt>に</rt></ruby> <ruby>匹<rt>ひき</rt></ruby>の <ruby>犬<rt>いぬ</rt></ruby>がいる。,We have two dogs.
～台<div class="hint">counter for large objects (esp. devices such as refrigerators; cars)</div>,～だい,counter for large objects (esp. devices such as refrigerators; cars),<ruby>家<rt>いえ</rt></ruby>にテレビが ２<rt>に</rt></ruby> <ruby>台<rt>だい</rt></ruby>ある。,We have 2 TVs at home.
～回<div class="hint">counter for number of times</div>,～かい,counter for number of times,<ruby>先月<rt>せんげつ</rt></ruby>あの <ruby>映画<rt>えいが</rt></ruby>を3 <ruby>回<rt>かい</rt></ruby> <ruby>見<rt>み</rt></ruby>ました。,I saw that movie 3 times last month.
～年<div class="hint">year (unit of time) | counter for years</div>,～ねん,year (unit of time) | counter for years,<ruby>今年<rt>ことし</rt></ruby>は2018 <ruby>年<rt>ねん</rt></ruby>です。,This year is 2018.
～度<div class="hint">counter for number of times</div>,～ど,counter for number of times,<ruby>私<rt>わたし</rt></ruby>は <ruby>富士<rt>ふじ</rt></ruby> <ruby>山<rt>さん</rt></ruby>に ３<rt>さん</rt></ruby> <ruby>度<rt>ど</rt></ruby> <ruby>登<rt>のぼ</rt></ruby>ったことがある。,I have climbed Mt. Fuji three times.
～日<div class="hint">day of the month | counter for days</div>,～にち,day of the month | counter for days,3 <ruby>月<rt>がつ</rt></ruby>15 <ruby>日<rt>にち</rt></ruby>で <ruby>学校<rt>がっこう</rt></ruby>は <ruby>終<rt>お</rt></ruby>わりです。,School will end on March 15.
～時<div class="hint">hours (unit of time)</div>,～じ,hours (unit of time),<ruby>毎日<rt>まいにち</rt></ruby>6 <ruby>時<rt>じ</rt></ruby>に <ruby>起<rt>お</rt></ruby>きます。,I wake up at 6 'oclock everyday.
～時間<div class="hint">period of hours</div>,～じかん,period of hours,<ruby>毎日<rt>まいにち</rt></ruby>8 <ruby>時間<rt>じかん</rt></ruby> <ruby>寝<rt>ね</rt></ruby>ます。,I sleep for 8 hours everyday.
～月<div class="hint">month (unit of time)</div>,～がつ,month (unit of time),5 <ruby>月<rt>がつ</rt></ruby> 5<ruby>日<rt>いつか</rt></ruby>は <ruby>子供<rt>こども</rt></ruby>の <ruby>日<rt>ひ</rt></ruby>だよ。,May 5th is Children's Day.
～本<div class="hint">counter for cylidrical objects</div>,～ほん,counter for cylidrical objects,ここに <ruby>五<rt>ご</rt></ruby> <ruby>本<rt>ほん</rt></ruby>の <ruby>鉛筆<rt>えんぴつ</rt></ruby>がある。,There are 5 pencils here.
～杯<div class="hint">counter for cups (of liquid)</div>,～はい,counter for cups (of liquid),<ruby>紅茶<rt>こうちゃ</rt></ruby>2 <ruby>杯<rt>はい</rt></ruby>をお <ruby>願<rt>ねが</rt></ruby>いします。,2 cups of tea; please.
～枚<div class="hint">counter for flat objects (ex. sheets of paper)</div>,～まい,counter for flat objects (ex. sheets of paper),チケットは1 <ruby>枚<rt>まい</rt></ruby>500 <ruby>円<rt>えん</rt></ruby>です。,One ticket is 500 yen.
～歳<div class="hint">~ years old</div>,～さい,~ years old,<ruby>来年<rt>らいねん</rt></ruby> <ruby>二十歳<rt>はたち</rt></ruby>になります。,I will be twenty next year.
～番<div class="hint">number (in a series)</div>,～ばん,number (in a series),２ <ruby>番<rt>ばん</rt></ruby>のバスに <ruby>乗<rt>の</rt></ruby>って、 <ruby>京都<rt>きょうと</rt></ruby> <ruby>駅<rt>えき</rt></ruby>で <ruby>降<rt>お</rt></ruby>りなさい。,Take the number 2 bus and get off at Kyoto Station.
～週間<div class="hint">period of weeks</div>,～しゅうかん,period of weeks,<ruby>一<rt>いっ</rt></ruby> <ruby>週間<rt>しゅうかん</rt></ruby>の <ruby>旅行<rt>りょこう</rt></ruby>です。,It is a one week trip.
～階<div class="hint">counter for floors in a building</div>,～かい,counter for floors in a building,<ruby>英語<rt>えいご</rt></ruby>の <ruby>教室<rt>きょうしつ</rt></ruby>はあの <ruby>建物<rt>たてもの</rt></ruby>の 6<ruby>階<rt>ろっかい</rt></ruby>にあります。,The English classroom is on the 6th floor of that building.
あそこ<div class="hint">over there; that place</div>,あそこ,over there; that place,あそこに <ruby>喫茶<rt>きっさ</rt></ruby> <ruby>店<rt>てん</rt></ruby>があります。,There is a coffee shop over there.
あちら<div class="hint">that way; over there</div>,あちら,that way; over there,あちらに <ruby>富士<rt>ふじ</rt></ruby> <ruby>山<rt>さん</rt></ruby>が <ruby>見<rt>み</rt></ruby>えます。,You can see Mt. Fuji over there.
あっち<div class="hint">that way; over there</div>,あっち,that way; over there,あっちにエレベーターがあるよ。,There is an elevator over there.
あなた<div class="hint">you</div>,あなた,you,この <ruby>靴<rt>くつ</rt></ruby>はあなたのですか？,Are these shoes yours?
あの<div class="hint">That over there</div>,あの,That over there,あの <ruby>青<rt>あお</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>のです。,That blue car over there is mine.
アパート<div class="hint">(abbr) apartment</div>,アパート,(abbr) apartment,<ruby>東京<rt>とうきょう</rt></ruby>でアパートを <ruby>借<rt>か</rt></ruby>りています。,I am renting an apartment in Tokyo.
あまり<div class="hint">not very</div>,あまり,not very,この <ruby>本<rt>ほん</rt></ruby>はあまり <ruby>面白<rt>おもしろ</rt></ruby>くないですね。,This book isn't very interesting it is.
ある<div class="hint">to be; to exist</div>,ある,to be; to exist,テーブルの <ruby>上<rt>うえ</rt></ruby>にジュースが 3<ruby>杯<rt>さんばい</rt></ruby>あります。,There are 3 cups of juice on the table.
あれ<div class="hint">that thing; something understood without naming it directly</div>,あれ,that thing; something understood without naming it directly,あれは <ruby>何<rt>なん</rt></ruby>ですか？,What is that?
いいえ<div class="hint">no</div>,いいえ,no,,
いかが<div class="hint">how; how about</div>,いかが,how; how about,<ruby>味<rt>あじ</rt></ruby>はいかがですか？,How does it taste?
いくつ<div class="hint">how many? | how old?</div>,いくつ,how many? | how old?,<ruby>妹<rt>いもうと</rt></ruby>さんはおいくつですか？,How old is you little sister?
いくら<div class="hint">how much?; how many?</div>,いくら,how much?; how many?,この <ruby>弁当<rt>べんとう</rt></ruby>はいくらですか？,How much is this bento?
いつ<div class="hint">when</div>,いつ,when,いつまで <ruby>東京<rt>とうきょう</rt></ruby>にいますか？,Until when will you be in Tokyo?
いつも<div class="hint">always</div>,いつも,always,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>仕事<rt>しごと</rt></ruby>が <ruby>多<rt>おお</rt></ruby>くて、いつも <ruby>忙<rt>いそが</rt></ruby>しいです。,She always busy because she has a lot of work.
いる<div class="hint">to be (living things); to exist | verb indicating continuing action or state</div>,いる,to be (living things); to exist | verb indicating continuing action or state,<ruby>今<rt>いま</rt></ruby> <ruby>彼<rt>かれ</rt></ruby>は <ruby>寝<rt>ね</rt></ruby>ている。,He is sleeping now.
ええ<div class="hint">yes; that is correct; right</div>,ええ,yes; that is correct; right,,
エレベーター<div class="hint">elevator</div>,エレベーター,elevator,エレベーターが <ruby>故障<rt>こしょう</rt></ruby>しています。,The elevator is out of order.
おじいさん<div class="hint">grandfather</div>,おじいさん,grandfather,おじいさんの <ruby>世話<rt>せわ</rt></ruby>をする。,I take care of my grandfather.
